Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Guess Who's Coming to Dinner,https://www.imdb.com/title/tt0061735/,7.8,38166,108.0,"['Comedy', 'Drama']",Not Rated,63.0,IMDB
Bedazzled,https://www.imdb.com/title/tt0061391/,6.9,8173,103.0,"['Comedy', 'Fantasy', 'Romance']",Approved,,IMDB
Poor Cow,https://www.imdb.com/title/tt0062141/,6.8,1323,101.0,['Drama'],Approved,,IMDB
Doctor Dolittle,https://www.imdb.com/title/tt0061584/,6.2,8346,152.0,"['Adventure', 'Comedy', 'Family']",Approved,34.0,IMDB
The Plank,https://www.imdb.com/title/tt0062133/,6.8,1119,45.0,['Comedy'],,,IMDB
The Exchange Student,https://www.imdb.com/title/tt0060475/,6.6,2844,84.0,"['Adventure', 'Comedy']",,,IMDB
Berserk,https://www.imdb.com/title/tt0061398/,5.3,1765,96.0,"['Horror', 'Mystery', 'Thriller']",Approved,,IMDB
Viy,https://www.imdb.com/title/tt0062453/,7.4,5535,77.0,"['Drama', 'Fantasy', 'Horror']",Not Rated,,IMDB
Marketa LazarovÃ¡,https://www.imdb.com/title/tt0063278/,8.1,4313,162.0,"['Drama', 'History', 'Romance']",Not Rated,,IMDB
Faccia a faccia,https://www.imdb.com/title/tt0061636/,7.2,2554,111.0,['Western'],R,,IMDB
The Producers,https://www.imdb.com/title/tt0063462/,7.6,48893,88.0,"['Comedy', 'Music']",PG,96.0,IMDB
Billion Dollar Brain,https://www.imdb.com/title/tt0061405/,6.0,4639,111.0,"['Crime', 'Thriller']",Not Rated,,IMDB
I Call First,https://www.imdb.com/title/tt0063803/,6.7,8094,90.0,"['Drama', 'Romance']",R,63.0,IMDB
Dance of the Vampires,https://www.imdb.com/title/tt0061655/,7.2,28814,91.0,"['Comedy', 'Horror']",Not Rated,56.0,IMDB
Torture Garden,https://www.imdb.com/title/tt0062384/,6.2,2355,93.0,"['Fantasy', 'Horror']",Not Rated,,IMDB
Tony Rome,https://www.imdb.com/title/tt0062380/,6.6,2252,110.0,"['Crime', 'Drama', 'Mystery']",Not Rated,,IMDB
Custer of the West,https://www.imdb.com/title/tt0062844/,5.8,1250,143.0,"['Biography', 'Drama', 'History']",G,,IMDB
The Incident,https://www.imdb.com/title/tt0061814/,7.7,3070,107.0,"['Crime', 'Drama', 'Thriller']",Approved,,IMDB
The Red and the White,https://www.imdb.com/title/tt0061537/,7.6,3111,90.0,"['Drama', 'War']",Not Rated,,IMDB
Cool Hand Luke,https://www.imdb.com/title/tt0061512/,8.1,157852,127.0,"['Crime', 'Drama']",GP,92.0,IMDB
God Forgives... I Don't!,https://www.imdb.com/title/tt0061576/,6.4,3907,97.0,['Western'],PG-13,,IMDB
The Comedians,https://www.imdb.com/title/tt0061502/,6.4,1799,150.0,['Drama'],Approved,,IMDB
Jewel Thief,https://www.imdb.com/title/tt0061842/,8.0,1655,186.0,"['Crime', 'Drama', 'Musical']",,,IMDB
Indomptable AngÃ©lique,https://www.imdb.com/title/tt0061819/,6.6,1246,95.0,['Adventure'],TV-14,,IMDB
Wait Until Dark,https://www.imdb.com/title/tt0062467/,7.8,27013,108.0,['Thriller'],Not Rated,81.0,IMDB
The Happiest Millionaire,https://www.imdb.com/title/tt0061749/,6.8,1740,141.0,"['Comedy', 'Family', 'Musical']",Approved,,IMDB
Le SamouraÃ¯,https://www.imdb.com/title/tt0062229/,8.1,43637,101.0,"['Crime', 'Drama', 'Mystery']",GP,,IMDB
Dragon Inn,https://www.imdb.com/title/tt0060635/,7.5,2131,111.0,"['Action', 'Adventure']",Not Rated,97.0,IMDB
C'era una volta,https://www.imdb.com/title/tt0061433/,6.2,1125,115.0,"['Comedy', 'Fantasy', 'Romance']",Not Rated,,IMDB
