Title_(RT),RT_critic,RT_critic_votes,RT_audience,RT_audience_votes
Sethupathi (no page found),N/A,N/A,N/A,N/A
Miruthan (no page found),N/A,N/A,N/A,N/A
Zjednoczone stany milosci (no page found),N/A,N/A,N/A,N/A
Neerja,100%,11,84%,"1,215"
Gautas Iskvietimas (no page found),N/A,N/A,N/A,N/A
Saint Amour,80%,5,40%,9
Den vyborov 2 (no page found),N/A,N/A,N/A,N/A
Osman Pazarlama (no page found),N/A,N/A,N/A,N/A
Showdown in Manila,0%,5,22%,37
The Risen,N/A,N/A,N/A,N/A
"Crouching Tiger, Hidden Dragon: Sword of Destiny",20%,35,39%,"12,089"
Sairat,100%,5,83%,65
Des nouvelles de la planÃÂÃÂ¨te Mars (no page found),N/A,N/A,N/A,N/A
Triple 9,54%,180,41%,"19,653"
Genius,N/A,N/A,71%,297
Paris 05:59: ThÃÂÃÂ©o & Hugo (no page found),N/A,N/A,N/A,N/A
Alone in Berlin,57%,54,50%,552
24 Wochen (no page found),N/A,N/A,N/A,N/A
Shelley,N/A,N/A,N/A,N/A
Being 17 (Quand on a 17 ans),95%,41,75%,613
In Her Name (Au nom de ma fille),100%,7,92%,119
A Quiet Passion,91%,175,48%,"4,615"
Aloys,80%,10,79%,71
Ilegitim (no page found),N/A,N/A,N/A,N/A
KurÃÂÃÂ®pÃÂÃÂ®: Itsuwari no rinjin (no page found),N/A,N/A,N/A,N/A
Shepherds and Butchers,56%,9,49%,86
Things to Come,93%,30,54%,"2,314"
Everlasting,100%,11,N/A,N/A
Krishna Gaadi Veera Prema Gaadha (no page found),N/A,N/A,N/A,N/A
MÃÂÃÂ£e SÃÂÃÂ³ HÃÂÃÂ¡ Uma (no page found),N/A,N/A,N/A,N/A
Barakah yoqabil Barakah (no page found),N/A,N/A,N/A,N/A
Puthiya Niyamam (no page found),N/A,N/A,N/A,N/A
Chu dai chiu fung (no page found),N/A,N/A,N/A,N/A
Cabin Fever,N/A,N/A,N/A,N/A
War on Everyone,61%,97,37%,"3,506"
Submerged (no page found),N/A,N/A,N/A,N/A
Midnight Special,84%,231,67%,"22,288"
Khashm Va Hayahoo (no page found),N/A,N/A,N/A,N/A
Jil Jung Juk (no page found),N/A,N/A,N/A,N/A
Obsession (American Dream),N/A,N/A,N/A,N/A
Sanam Re (no page found),N/A,N/A,N/A,N/A
Race,N/A,N/A,11%,61
"I, Olga Hepnarová (Já, Olga Hepnarová)",73%,30,56%,155
Zootopia,98%,290,92%,"101,411"
The Mermaid (Mei ren yu),95%,38,60%,"4,027"
Birkebeinerne (no page found),N/A,N/A,N/A,N/A
Sanam Teri Kasam,0%,5,75%,743
Welcome to Norway,N/A,N/A,N/A,N/A
From Vegas to Macau III,20%,5,9%,84
Planeta Singli,N/A,N/A,69%,37
Maheshinte Prathikaaram (no page found),N/A,N/A,N/A,N/A
KÃÂÃÂ¶tÃÂÃÂ¼ Kedi Serafettin (no page found),N/A,N/A,N/A,N/A
Ghayal Once Again,60%,10,67%,89
Dad's Army,31%,35,36%,"4,110"
Misconduct,7%,28,22%,"1,147"
The Zohar Secret (no page found),N/A,N/A,N/A,N/A
Action Hero Biju,N/A,N/A,50%,30
The Wild Life,17%,58,28%,"2,984"
Tschiller: Off Duty (no page found),N/A,N/A,N/A,N/A
Vigilante Diaries,14%,7,69%,216
Barcode,N/A,N/A,N/A,N/A
Geom-sa-oe-jeon (no page found),N/A,N/A,N/A,N/A
How To Be Single,47%,156,47%,"28,004"
Abad va yek rooz (no page found),N/A,N/A,N/A,N/A
Bodyguard,N/A,N/A,55%,24
Perfect Strangers (Perfetti sconosciuti),77%,13,83%,738
We Are the Flesh (Tenemos la carne),74%,46,28%,421
Suntan,72%,29,49%,162
Blue Mountain State: The Rise of Thadland,N/A,N/A,46%,739
Angel in Red,N/A,N/A,N/A,N/A
Baradaram Khosro (no page found),N/A,N/A,N/A,N/A
Lantouri (no page found),N/A,N/A,N/A,N/A
Ejdeha Vared Mishavad! (no page found),N/A,N/A,N/A,N/A
Istadeh Dar Ghobar (no page found),N/A,N/A,N/A,N/A
The Choice,11%,84,62%,"12,501"
Zoolander 2,22%,231,20%,"41,736"
"Hail, Caesar! (no page found)",N/A,N/A,N/A,N/A
The Love Witch,95%,110,61%,"2,346"
L'odyssÃÂÃÂ©e (no page found),N/A,N/A,N/A,N/A
The Model,71%,7,44%,193
Pashupati Prasad (no page found),N/A,N/A,N/A,N/A
Her Sey Asktan (no page found),N/A,N/A,N/A,N/A
Iftarlik Gazoz (no page found),N/A,N/A,N/A,N/A
Lost in the Pacific,N/A,N/A,14%,29
Embarazados,N/A,N/A,52%,30
Mastizaade,0%,8,0%,77
Alien Arrival (no page found),N/A,N/A,N/A,N/A
Despite The Falling Snow,9%,22,45%,239
The Fundamentals of Caring,77%,35,83%,"5,925"
Saala Khadoos,60%,10,75%,165
L'abbiamo fatta grossa (no page found),N/A,N/A,N/A,N/A
Fifty Shades of Black,7%,46,19%,"11,150"
Ali and Nino,40%,10,57%,99
The Finest Hours,63%,196,66%,"23,084"
Frank & Lola,69%,42,41%,"2,387"
The Land,70%,20,61%,534
The Intervention,78%,51,49%,"2,221"
Les innocents (The Innocents),N/A,N/A,N/A,N/A
Carnage Park,61%,23,29%,418
Equity,82%,98,52%,"4,803"
The Free World,47%,19,54%,187
Irreplaceable (Médecin de campagne),91%,22,48%,82
Little Men (no page found),N/A,N/A,N/A,N/A
Range 15,N/A,N/A,84%,691
"Így, ahogy vagytok (As You Are)",N/A,N/A,N/A,N/A
Sand Storm (Sufat Chol),93%,42,82%,262
Lovesong,83%,29,57%,"1,093"
Complete Unknown,51%,74,24%,967
The Birth of a Nation,73%,263,71%,"15,974"
Outlaws and Angels,29%,28,49%,336
Antibirth,70%,33,33%,483
Spa Night,96%,25,59%,262
Brahman Naman,75%,8,45%,132
Joshy,81%,26,54%,910
Certain Women,N/A,N/A,N/A,N/A
First Girl I Loved,90%,29,77%,300
Southside With You,92%,159,71%,"9,506"
Indignation,81%,133,74%,"8,786"
Wild,50%,8,67%,23
Yoga Hosers,23%,60,34%,"4,609"
The Hollars,46%,91,59%,"3,821"
Sing Street,95%,207,92%,"16,934"
Turnabout,N/A,N/A,50%,9
Buddymoon,75%,8,57%,330
Trash Fire,69%,26,54%,343
Christine,69%,29,63%,"64,558"
Sleight,78%,45,53%,"5,813"
White Girl,72%,47,46%,"1,811"
Manchester by the Sea,96%,344,78%,"50,142"
31,47%,45,35%,"4,521"
Let's Be Evil,15%,13,16%,223
Captain Fantastic,83%,224,85%,"22,207"
Love & Friendship,97%,208,60%,"20,156"
Tallulah,85%,54,69%,"3,363"
Pitbull. Nowe porzadki,N/A,N/A,62%,47
Kyaa Kool Hain Hum 3,0%,8,5%,40
The Eyes of My Mother,78%,99,57%,"3,277"
Dedemin Fisi (no page found),N/A,N/A,N/A,N/A
Hunt for the Wilderpeople,96%,198,91%,"24,690"
Sophie and the Rising Sun,64%,11,60%,147
Goat,79%,76,44%,"4,012"
Airlift,83%,12,76%,521
The Greasy Strangler,63%,52,53%,"1,156"
Under The Shadow,99%,89,74%,"4,796"
Wiener-Dog,74%,114,41%,"3,444"
Swiss Army Man,71%,206,72%,"17,064"
Exposed,N/A,N/A,N/A,N/A
Operation Avalanche,69%,61,52%,"1,873"
Morris from America,88%,84,60%,"2,263"
Sneekweek (no page found),N/A,N/A,N/A,N/A
LÃÂÃÂ­da BaarovÃÂÃÂ¡ (no page found),N/A,N/A,N/A,N/A
Other People,85%,59,79%,"2,521"
Lost in the Sun (no page found),N/A,N/A,N/A,N/A
Belgica,57%,14,56%,71
Deadpool,85%,341,90%,"187,386"
Pride and Prejudice and Zombies,45%,191,44%,"28,224"
The Monkey King 2 (San Da Bai Gu Jing),100%,5,51%,971
The Boy,30%,61,38%,"19,197"
Dirty Grandpa,11%,134,44%,"30,273"
The Veil,N/A,N/A,23%,399
The Rack Pack,N/A,N/A,N/A,N/A
Os Dez Mandamentos - O Filme (no page found),N/A,N/A,N/A,N/A
Roommates Wanted (Adopte un Veuf),N/A,N/A,N/A,N/A
Five,63%,8,48%,253
Kung Fu Panda 3,87%,176,78%,"99,898"
Monsoon Mangoes (no page found),N/A,N/A,N/A,N/A
Paavada,N/A,N/A,N/A,N/A
Kardesim Benim (no page found),N/A,N/A,N/A,N/A
Soggade Chinni Nayana,N/A,N/A,N/A,N/A
Bizans oyunlari: Geym of Bizans (no page found),N/A,N/A,N/A,N/A
We Are Not Alone (No estamos solos),N/A,N/A,4%,33
Pattaya (no page found),N/A,N/A,N/A,N/A
One Man and His Cow (La Vache),N/A,N/A,79%,80
Correspondence (La corrispondenza),14%,7,35%,76
The Commune (Kollektivet),71%,94,59%,730
The 5th Wave (no page found),N/A,N/A,N/A,N/A
Norm of the North,9%,69,22%,"7,840"
Les Tuche 2 - Le rÃÂÃÂªve amÃÂÃÂ©ricain (no page found),N/A,N/A,N/A,N/A
Nannaku Prematho,N/A,N/A,N/A,N/A
13 Hours by Air (Thirteen Hours by Air),N/A,N/A,N/A,N/A
Kizumonogatari: I Tekketsu-hen (no page found),N/A,N/A,N/A,N/A
Sin Filtro (no page found),N/A,N/A,N/A,N/A
The Forest (le Silence De La Foret),N/A,N/A,N/A,N/A
Friend Request,16%,75,28%,"5,046"
Wazir,56%,9,52%,492
Ride Along 2,13%,119,48%,"35,041"
Little Dead Rotting Hood,N/A,N/A,24%,65
Chocolat,62%,117,83%,"328,920"
Mercury Plains,N/A,N/A,N/A,N/A
Standoff,N/A,N/A,20%,39
The Carer,66%,32,61%,62
Natsamrat (no page found),N/A,N/A,N/A,N/A
Hep Yek (no page found),N/A,N/A,N/A,N/A
Quo vado?,60%,5,58%,144
Kocan Kadar Konus (Husband Factor),N/A,N/A,40%,33
Xiao men shen (no page found),N/A,N/A,N/A,N/A
Mafiya: Igra na vyzhivanie (no page found),N/A,N/A,N/A,N/A
Nenu Sailaja (no page found),N/A,N/A,N/A,N/A
Tang ren jie tan an (no page found),N/A,N/A,N/A,N/A
Mohalla Assi,0%,7,N/A,N/A
Adulterers (no page found),N/A,N/A,N/A,N/A
Thirst,N/A,N/A,21%,286
Jane Got a Gun,43%,80,37%,"14,056"
Ho Mann Jahaan,N/A,N/A,62%,38
Adi Kapyare Kootamani (no page found),N/A,N/A,N/A,N/A
Delibal (no page found),N/A,N/A,N/A,N/A
Two Countries (Telugu),N/A,N/A,N/A,N/A
Pasanga 2 (no page found),N/A,N/A,N/A,N/A
Samyy luchshiy den! (no page found),N/A,N/A,N/A,N/A
Charlie,N/A,N/A,52%,379
I'm Off Then (no page found),N/A,N/A,N/A,N/A
Brothers of the Wind,N/A,N/A,48%,60
Capsule,N/A,N/A,N/A,N/A
Guns for Hire,N/A,N/A,N/A,N/A
Nadide Hayat,N/A,N/A,N/A,N/A
Extraction,N/A,N/A,27%,89
Bajirao Mastani,65%,17,73%,"1,780"
Sap nin (no page found),N/A,N/A,N/A,N/A
Thanga Magan (no page found),N/A,N/A,N/A,N/A
Dilwale,N/A,N/A,33%,41
Xun long jue (no page found),N/A,N/A,N/A,N/A
Enas allos kosmos (no page found),N/A,N/A,N/A,N/A
The Lure,76%,21,N/A,N/A
Daeho (no page found),N/A,N/A,N/A,N/A
All Roads Lead to Rome,0%,7,16%,314
Ip Man 3,76%,51,72%,"11,684"
The Revenant,78%,395,84%,"105,180"
Star Wars: Episode VII - The Force Awakens (no page found),N/A,N/A,N/A,N/A
A Man Called Ove (En man som heter Ove),90%,115,87%,"9,771"
Joy,N/A,N/A,N/A,N/A
Orenji (no page found),N/A,N/A,N/A,N/A
Sisters,60%,176,52%,"40,504"
Eddie The Eagle,82%,198,82%,"22,867"
Waiting,30%,92,75%,"233,368"
Mythica: The Necromancer,N/A,N/A,45%,53
Bon Bini Holland,N/A,N/A,N/A,N/A
Publieke werken (no page found),N/A,N/A,N/A,N/A
Heidi,100%,8,82%,88
Manifesto,N/A,N/A,N/A,N/A
Bilal: A New Breed of Hero,59%,39,85%,"7,266"
Palmeras en la nieve (no page found),N/A,N/A,N/A,N/A
Daddy's Home,N/A,N/A,N/A,N/A
The Hateful Eight,75%,331,76%,"73,334"
Alvin and the Chipmunks: The Road Chip,15%,67,51%,"36,799"
The Ridiculous 6,0%,36,34%,"3,351"
Hate Story 3,10%,10,N/A,N/A
Chi-Raq,82%,146,50%,"8,190"
Christmas Eve,N/A,N/A,62%,19
Dementia,N/A,N/A,N/A,N/A
Uncle Nick,45%,11,72%,297
DÃÂÃÂ¼gÃÂÃÂ¼n Dernek 2: SÃÂÃÂ¼nnet (no page found),N/A,N/A,N/A,N/A
Cloudy Sunday (Ouzeri Tsitsanis),N/A,N/A,N/A,N/A
I Am Dragon (no page found),N/A,N/A,N/A,N/A
Riot,N/A,N/A,N/A,N/A
In the Heart of the Sea,43%,237,53%,"40,521"
Bad Roomies,N/A,N/A,18%,133
Point Break,69%,59,79%,"133,618"
Krampus,66%,128,51%,"26,602"
Highway to Hellas,N/A,N/A,N/A,N/A
Spectacle (no page found),N/A,N/A,N/A,N/A
Tor dei gui mou yan (no page found),N/A,N/A,N/A,N/A
Su Su Sudhi Vathmeekam (no page found),N/A,N/A,N/A,N/A
Kumari 21F (no page found),N/A,N/A,N/A,N/A
Chhello Divas: A New Beginning (no page found),N/A,N/A,N/A,N/A
Digimon Adventure tri. 1: Saikai (no page found),N/A,N/A,N/A,N/A
Criminal Activities,48%,21,42%,605
The Night Before,68%,156,61%,"31,396"
Hong yi xiao nu hai (no page found),N/A,N/A,N/A,N/A
Loev,86%,7,50%,120
Nae-bu-ja-deul (no page found),N/A,N/A,N/A,N/A
Creed,95%,306,89%,"76,017"
Papa: Hemingway in Cuba,11%,44,53%,"1,258"
Ocho apellidos catalanes,40%,10,31%,113
#Horror (no page found),N/A,N/A,N/A,N/A
Pali Road,55%,11,99%,"1,036"
Loro chi? (no page found),N/A,N/A,N/A,N/A
Letters to Santa 2 (no page found),N/A,N/A,N/A,N/A
Snowtime!,71%,24,50%,104
Anarkali,N/A,N/A,N/A,N/A
En underbar jÃÂÃÂ¤vla jul (no page found),N/A,N/A,N/A,N/A
The Funhouse Massacre,73%,15,37%,372
125 Years Memory (Kainan 1890),N/A,N/A,N/A,N/A
Katyar Kaljat Ghusali (no page found),N/A,N/A,N/A,N/A
Found a Treasure Called Love (no page found),N/A,N/A,N/A,N/A
The Secret in Their Eyes (El Secreto de Sus Ojos),89%,139,93%,"28,532"
The Big Short,88%,321,88%,"69,032"
The Final Master,65%,20,63%,251
Ali Baba ve 7 CÃÂÃÂ¼celer (no page found),N/A,N/A,N/A,N/A
Rosalie Blum,100%,12,92%,191
Jane Wants a Boyfriend,38%,8,64%,236
Heist,N/A,N/A,N/A,N/A
Vedam,N/A,N/A,96%,77
Thoongaavanam (Thoonga Vanam),N/A,N/A,75%,64
A Dogwalker's Christmas Tale,N/A,N/A,30%,29
My All American,31%,45,77%,"3,906"
Concussion,75%,59,48%,"1,806"
The Good Dinosaur,76%,215,65%,"58,954"
Victor Frankenstein,26%,141,35%,"28,401"
Le goÃÂÃÂ»t des merveilles (no page found),N/A,N/A,N/A,N/A
Andron (Andròn - The Black Labyrinth),0%,6,13%,203
Ouija: Game Never Ends (no page found),N/A,N/A,N/A,N/A
Geomeun sajedeul (no page found),N/A,N/A,N/A,N/A
Life on the Line,0%,15,35%,409
By the Sea,N/A,N/A,N/A,N/A
Love the Coopers,18%,122,36%,"11,752"
The Hunger Games: Mockingjay - Part 2 (no page found),N/A,N/A,N/A,N/A
Krampus: The Reckoning,N/A,N/A,13%,115
How Sarah Got Her Wings,N/A,N/A,21%,37
Savageland,N/A,N/A,56%,59
All Through the House,N/A,N/A,41%,41
The Dead Room,N/A,N/A,24%,116
Aligarh,100%,9,84%,99
Main Aur Charles,29%,7,N/A,N/A
Whispers,N/A,N/A,13%,242
Freaks Of Nature,N/A,N/A,45%,"3,692"
400 Days,22%,9,41%,"2,115"
Cold of Kalandar (no page found),N/A,N/A,N/A,N/A
A Wicked Within,N/A,N/A,N/A,N/A
House of the Damned,N/A,N/A,50%,116
Nise: The Heart of Madness (Nise: O Coração da Loucura),88%,8,91%,65
Belly of the Bulldog (no page found),N/A,N/A,N/A,N/A
Unspoken,N/A,N/A,N/A,N/A
Ithaca,22%,18,31%,324
Alaska,N/A,N/A,N/A,N/A
Scouts Guide to the Zombie Apocalypse,44%,96,48%,"9,583"
Kanche (no page found),N/A,N/A,N/A,N/A
Nous trois ou rien (no page found),N/A,N/A,N/A,N/A
Shaandaar (Shandaar),18%,11,23%,368
Jem and the Holograms,22%,79,40%,"6,087"
Rock the Kasbah,7%,123,28%,"11,655"
Naanum Rowdy Thaan (no page found),N/A,N/A,N/A,N/A
10 Endrathukulla,N/A,N/A,N/A,N/A
Girl Asleep,81%,37,58%,773
Paranormal Activity: The Ghost Dimension,14%,77,27%,"25,255"
The Peanuts Movie,87%,197,76%,"67,026"
Burnt,28%,158,44%,"17,295"
Patchwork,N/A,N/A,49%,78
They Call Me Jeeg (Lo chiamavano Jeeg Robot),75%,12,78%,285
Amar Akbar Anthony,N/A,N/A,86%,"2,743"
Rajkahini (no page found),N/A,N/A,N/A,N/A
Pyaar Ka Punchnama 2,20%,10,55%,248
Hell House LLC,89%,9,72%,307
Woodlawn,73%,15,80%,"9,837"
Unnatural,N/A,N/A,17%,41
Lumberjack Man,N/A,N/A,38%,177
Re-Kill,N/A,N/A,28%,159
Bruce Lee - The Fighter (no page found),N/A,N/A,N/A,N/A
Christmas in the Smokies,N/A,N/A,35%,29
Hamlet,100%,6,91%,534
OperaÃÂÃÂ§ÃÂÃÂµes Especiais (no page found),N/A,N/A,N/A,N/A
Burn Burn Burn,92%,12,75%,94
Babysitting 2 (no page found),N/A,N/A,N/A,N/A
Suburra,91%,23,79%,438
The Inhabitants,71%,7,12%,90
I Am a Hero,90%,10,70%,303
The Last Witch Hunter,18%,136,43%,"37,621"
Akron,60%,5,74%,60
Nil Battey Sannata,100%,5,84%,81
Comment c'est loin,N/A,N/A,N/A,N/A
Zombie Ninjas Vs Black Ops,N/A,N/A,67%,9
The Girl in the Book,92%,13,55%,830
The Preppie Connection,11%,9,50%,384
Kasaba (The Small Town),N/A,N/A,73%,535
The Miles Ahead,N/A,N/A,N/A,N/A
Genis Aile: Yapistir (no page found),N/A,N/A,N/A,N/A
Hayat ÃÂÃÂpÃÂÃÂ¼cÃÂÃÂ¼gÃÂÃÂ¼ (no page found),N/A,N/A,N/A,N/A
Pathemari (no page found),N/A,N/A,N/A,N/A
The Exorcism of Molly Hartley,N/A,N/A,21%,345
Samurai Cop 2: Deadly Vengeance,N/A,N/A,94%,954
Villmark 2,N/A,N/A,N/A,N/A
Martyrs,63%,38,69%,"12,354"
Navy Seals vs. Zombies,N/A,N/A,10%,108
The Subjects,N/A,N/A,24%,52
Look Who's Back (Er Ist Wieder Da),N/A,N/A,80%,"1,043"
Rudhramadevi,N/A,N/A,36%,19
The Crew (no page found),N/A,N/A,N/A,N/A
All Hallows' Eve 2,N/A,N/A,14%,62
"Belle et SÃÂÃÂ©bastien, l'aventure continue (no page found)",N/A,N/A,N/A,N/A
All American Bikini Car Wash,N/A,N/A,59%,42
The Great Gilly Hopkins,65%,17,64%,22
Felix Manalo,N/A,N/A,75%,16
Made in France,N/A,N/A,N/A,N/A
Bridge of Spies,90%,305,87%,"65,428"
Numb,56%,9,72%,101
Bakuman (no page found),N/A,N/A,N/A,N/A
Goosebumps,78%,162,62%,"51,966"
Kafes,N/A,N/A,N/A,N/A
Bulanti,N/A,N/A,N/A,N/A
American Hero,30%,10,23%,378
Yellow Flowers on the Green Grass (no page found),N/A,N/A,N/A,N/A
Shark Lake,N/A,N/A,16%,181
Diablo,N/A,N/A,67%,9
Gravy,30%,10,43%,230
Hell & Back,0%,5,34%,"1,715"
May Nai Fai Rang Frer,N/A,N/A,N/A,N/A
I Spit on Your Grave 3: Vengeance Is Mine,N/A,N/A,27%,332
Even Lambs Have Teeth,N/A,N/A,43%,50
Singh Is Bliing,44%,9,20%,83
Rise of the Footsoldier Part II,N/A,N/A,20%,74
SuperBob,86%,7,52%,194
Fathers And Daughters,28%,50,58%,"2,395"
Bone Tomahawk,91%,93,73%,"13,561"
Departure,N/A,N/A,N/A,N/A
Xia Luo te fan nao (no page found),N/A,N/A,N/A,N/A
Jie jiu Wu xian sheng (no page found),N/A,N/A,N/A,N/A
Chronicles of the Ghostly Tribe (no page found),N/A,N/A,N/A,N/A
Puli,N/A,N/A,N/A,N/A
What We Become (Sorgenfri),78%,9,27%,175
Die dunkle Seite des Mondes (no page found),N/A,N/A,N/A,N/A
Darling,N/A,N/A,N/A,N/A
The Walk (La Passeggiata),N/A,N/A,N/A,N/A
Gridlocked,N/A,N/A,40%,173
Yok Artik (no page found),N/A,N/A,N/A,N/A
Les dÃÂÃÂ©mons (no page found),N/A,N/A,N/A,N/A
Lost in Hong Kong,60%,5,49%,784
Los Parecidos (no page found),N/A,N/A,N/A,N/A
Crimson Peak,73%,274,55%,"35,391"
Narcopolis,18%,11,25%,203
"Birdboy: The Forgotten Children (Psiconautas, los niños olvidados)",94%,32,74%,305
Waffle Street,N/A,N/A,46%,237
Lazer Team,60%,35,69%,"4,266"
Kis Kisko Pyaar Karoon,0%,6,N/A,N/A
The Bride (La novia),N/A,N/A,57%,51
Hotel Transylvania 2,56%,108,64%,"89,806"
Tjuvheder (no page found),N/A,N/A,N/A,N/A
Pan,27%,197,40%,"51,010"
Ennu Ninte Moideen (no page found),N/A,N/A,N/A,N/A
Jawani Phir Nahi Ani (Jawani Phir Nahin Aaani),N/A,N/A,89%,221
The Anthem of the Heart (Kokoro ga sakebitagatterunda),N/A,N/A,56%,53
Hiroin shikkaku (no page found),N/A,N/A,N/A,N/A
How to Plan an Orgy in a Small Town,29%,14,35%,153
Mr. Right,45%,53,56%,"6,279"
Gujjubhai the Great (no page found),N/A,N/A,N/A,N/A
Kara Bela,N/A,N/A,40%,7
MSG 2 the Messenger (no page found),N/A,N/A,N/A,N/A
Embers (no page found),N/A,N/A,N/A,N/A
Angry Indian Goddesses,61%,18,71%,73
Regression,15%,41,21%,"7,858"
Stonewall,63%,8,68%,987
Bill,N/A,N/A,94%,223
Rajini Murugan,N/A,N/A,N/A,N/A
Maya,N/A,N/A,N/A,N/A
The Demon (Midnight Caller),N/A,N/A,8%,"1,079"
Moje cÃÂÃÂ³rki krowy (no page found),N/A,N/A,N/A,N/A
Katti Batti,N/A,N/A,20%,295
My Little Pony: Equestria Girls - Friendship Games (no page found),N/A,N/A,N/A,N/A
Oddball and the Penguins (Oddball),87%,23,62%,702
Pleneno yato (Captive Flock),N/A,N/A,N/A,N/A
Dark,N/A,N/A,68%,74
Ich Und Kaminski,N/A,N/A,25%,13
The Man Who Knew Infinity,63%,128,71%,"10,913"
Southbound,80%,51,51%,"3,661"
Sky,60%,5,48%,311
Sado (no page found),N/A,N/A,N/A,N/A
Pay the Ghost,10%,30,25%,"1,031"
Close Range,86%,7,26%,280
The Forsaken,7%,54,41%,"10,937"
The Mind's Eye,62%,26,35%,293
River,N/A,N/A,N/A,N/A
Enemy Territory (Septembers Of Shiraz),31%,13,42%,248
The Intern,60%,194,73%,"45,147"
Guilty (Talvar),90%,21,90%,495
Being Charlie,23%,43,39%,485
The Meddler,85%,143,56%,"9,242"
ÃÂÃÂvolution (no page found),N/A,N/A,N/A,N/A
Hyena Road,55%,22,59%,"1,470"
The Girl In The Photographs,18%,22,21%,340
The Dressmaker,57%,138,66%,"9,920"
D'Ardennen (no page found),N/A,N/A,N/A,N/A
The Family Fang,83%,80,47%,"4,467"
The Devil's Candy,92%,51,64%,"5,637"
The Paradise Suite,N/A,N/A,59%,35
The Ones Below,75%,48,47%,"4,230"
Colonia,26%,47,61%,"3,931"
Closet Monster,81%,31,72%,"2,280"
Desierto,63%,91,47%,"4,545"
The Program,62%,108,43%,"3,055"
Sunset Song,81%,115,50%,"2,595"
Born To Be Blue,88%,116,73%,"6,868"
Freeheld,N/A,N/A,83%,233
High-Rise,60%,217,36%,"12,020"
Pojkarna (no page found),N/A,N/A,N/A,N/A
3 Generations,32%,44,44%,"2,707"
Truth,63%,178,62%,"7,917"
Truman,88%,8,73%,546
The Lady In The Van,89%,149,64%,"16,452"
Maggie's Plan,87%,180,52%,"8,101"
The Blackcoat's Daughter (February),72%,67,49%,"4,698"
Trumbo,74%,204,79%,"22,812"
Hardcore Henry,51%,144,54%,"18,323"
Parched,86%,22,67%,258
Lake Eerie,N/A,N/A,22%,60
Into The Forest,76%,51,43%,"5,618"
Miss You Already,71%,117,68%,"9,198"
Phantom Boy,88%,51,71%,477
Karbala (no page found),N/A,N/A,N/A,N/A
Kendasampige,N/A,N/A,N/A,N/A
Film Kteer Kbeer (no page found),N/A,N/A,N/A,N/A
Dabbe (Dab6e) (no page found),N/A,N/A,N/A,N/A
Baskin,79%,43,46%,"1,882"
Ya tayr el tayer (no page found),N/A,N/A,N/A,N/A
4Got10,N/A,N/A,28%,116
My Big Night (Mi Gran Noche),90%,21,60%,134
90 Minutes In Heaven,23%,22,50%,"5,340"
Blackway,20%,5,28%,878
Black,67%,6,90%,"8,311"
Full Out,N/A,N/A,50%,131
12 Rounds 3: Lockdown,N/A,N/A,51%,544
ÃÂÃÂrestir (no page found),N/A,N/A,N/A,N/A
Zoom,3%,67,33%,"11,365"
The Martian,91%,373,91%,"131,566"
Ma ma,25%,44,45%,321
A Patch Of Fog,81%,16,67%,99
Eye In The Sky,95%,216,82%,"32,875"
I Saw the Light,18%,155,36%,"3,632"
Our Brand Is Crisis,92%,39,75%,"4,879"
Interrogation (Visaaranai),N/A,N/A,92%,19
Queen of Spades,N/A,N/A,N/A,N/A
Desde allÃÂÃÂ¡ (no page found),N/A,N/A,N/A,N/A
Sicilian Vampire,N/A,N/A,33%,19
Hero,95%,208,87%,"249,406"
Jazbaa,38%,13,33%,138
Schone handen (no page found),N/A,N/A,N/A,N/A
Land of Mine (Under Sandet),92%,106,89%,"4,958"
Barbara Taylor Bradford's 'Remember',N/A,N/A,N/A,N/A
Fack ju GÃÂÃÂ¶hte 2 (no page found),N/A,N/A,N/A,N/A
Demolition,N/A,N/A,N/A,N/A
Heneral Luna,75%,8,89%,455
Manto,N/A,N/A,N/A,N/A
Lao pao er (no page found),N/A,N/A,N/A,N/A
11 minut (no page found),N/A,N/A,N/A,N/A
Abluka (no page found),N/A,N/A,N/A,N/A
Chain of Command,N/A,N/A,29%,98
Tanna,92%,38,76%,770
Non essere cattivo (no page found),N/A,N/A,N/A,N/A
Klovn Forever (no page found),N/A,N/A,N/A,N/A
L'hermine (no page found),N/A,N/A,N/A,N/A
Man Down,16%,55,58%,"3,678"
A Bigger Splash,90%,181,58%,"8,559"
As I Open My Eyes (À peine j'ouvre les yeux),100%,18,53%,97
A War (Krigen),91%,93,79%,"1,947"
L'attesa (no page found),N/A,N/A,N/A,N/A
Iguales?,N/A,N/A,N/A,N/A
The Childhood of a Leader,89%,65,54%,"1,523"
Steve Jobs: The Lost Interview,100%,6,84%,"1,035"
The Danish Girl,67%,241,72%,"27,407"
Boi Neon (no page found),N/A,N/A,N/A,N/A
Marguerite,95%,107,72%,"1,772"
Viva,62%,50,39%,343
The Fits,97%,107,54%,"2,278"
Anacleto: Agente Secreto,N/A,N/A,38%,47
Francofonia,87%,75,46%,"1,071"
The Room,25%,28,47%,"9,816"
Anomalisa,92%,267,71%,"19,627"
Black Mass,N/A,N/A,N/A,N/A
The Girl King,42%,19,44%,196
Bhale Bhale Magadivoi (no page found),N/A,N/A,N/A,N/A
Freelance: Ham puay... Ham phak... Ham rak mor (no page found),N/A,N/A,N/A,N/A
Lolo,N/A,N/A,N/A,N/A
