Title_(RT),RT_critic,RT_critic_votes,RT_audience,RT_audience_votes
Earthquake Bird,50%,40,54%,190
The Rising Hawk (no page found),N/A,N/A,N/A,N/A
The Legacy of the Bones (no page found),N/A,N/A,N/A,N/A
The Addams Family,44%,154,69%,"10,314"
Yedinci Kogustaki Mucize (no page found),N/A,N/A,N/A,N/A
Zombieland: Double Tap,68%,241,88%,"11,198"
Trickfilme,78%,23,83%,"6,544"
Advantages of Travelling by Train (Ventajas de viajar en tren),100%,6,N/A,N/A
Wonder Woman: Bloodlines,88%,8,50%,111
Semper Fi,N/A,N/A,80%,134
Code 8,79%,19,63%,577
Asuran (no page found),N/A,N/A,N/A,N/A
Axone,N/A,N/A,N/A,N/A
War (Rogue Assassin),14%,59,51%,"293,190"
Gumnaami (no page found),N/A,N/A,N/A,N/A
Doom: Annihilation,50%,6,15%,279
Art of the Dead,N/A,N/A,N/A,N/A
Jhalki (no page found),N/A,N/A,N/A,N/A
Seventeen,N/A,N/A,100%,53
10 Minutes Gone,0%,7,18%,82
Little Baby (no page found),N/A,N/A,N/A,N/A
Sye Raa Narasimha Reddy,57%,7,87%,52
The Irishman,96%,434,86%,"1,057"
A Shaun the Sheep Movie: Farmageddon,96%,73,79%,237
Geroy (no page found),N/A,N/A,N/A,N/A
21 Bridges,53%,129,91%,"7,241"
The Dawn (Dawn Over Ireland),N/A,N/A,N/A,N/A
Gemini Man,26%,305,83%,"8,795"
Inside Man: Most Wanted,N/A,N/A,38%,48
"My People, My Country",N/A,N/A,67%,24
The Endless Trench (La trinchera infinita),93%,14,85%,27
Fractured,59%,29,50%,514
VFW,81%,53,63%,121
In the Shadow of the Moon,95%,113,91%,"6,162"
Black and Blue,51%,92,93%,"6,357"
The Captain (Der Kapitan),N/A,N/A,N/A,N/A
Between Two Ferns: The Movie,74%,58,43%,312
Quick,N/A,N/A,29%,21
Prassthanam,29%,7,50%,6
Kaappaan,N/A,N/A,12%,8
The Zoya Factor,42%,12,62%,16
In the Tall Grass,N/A,N/A,N/A,N/A
Fanxiao (no page found),N/A,N/A,N/A,N/A
Single Slipper Size - 7 (no page found),N/A,N/A,N/A,N/A
Annem (no page found),N/A,N/A,N/A,N/A
The Wedding Year,44%,9,51%,51
Hell House LLC III: Lake of Fire,14%,7,N/A,N/A
The Cleansing Hour,100%,7,N/A,N/A
Lucky Day,N/A,N/A,N/A,N/A
The Coldest Game,0%,5,49%,96
Rambo: Last Blood,27%,168,82%,"8,119"
Tekst (no page found),N/A,N/A,N/A,N/A
3 from Hell,56%,36,59%,682
Blood Machines,78%,18,67%,33
The Beach House,N/A,N/A,62%,12
Tall Girl,44%,9,N/A,N/A
Dream Girl,N/A,N/A,N/A,N/A
Section 375,64%,11,100%,18
Zeroville,23%,31,38%,8
Gang Leader,N/A,N/A,N/A,N/A
American Son,100%,13,52%,598
Pailwaan (no page found),N/A,N/A,N/A,N/A
Downton Abbey,84%,247,94%,"20,269"
Running with the Devil,24%,25,39%,122
True History of the Kelly Gang,79%,153,39%,143
Lucy in the Sky,21%,123,31%,75
Human Capital,81%,67,77%,"3,250"
Harriet,74%,216,97%,"12,138"
Ride Like a Girl,66%,35,79%,33
Guns Akimbo,53%,66,40%,5
