Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Queen & Slim,https://www.imdb.com/title/tt8722346/,7.0,17001,132.0,"['Crime', 'Drama', 'Romance']",R,74,IMDB
Dark Waters,https://www.imdb.com/title/tt9071322/,7.6,41284,126.0,"['Biography', 'Drama', 'History']",PG-13,73,IMDB
Lady and the Tramp,https://www.imdb.com/title/tt8096832/,6.3,13305,103.0,"['Adventure', 'Comedy', 'Drama']",PG,48,IMDB
Charlie's Angels,https://www.imdb.com/title/tt5033998/,4.7,45248,118.0,"['Action', 'Adventure', 'Comedy']",PG-13,52,IMDB
Android Kunjappan Ver 5.25,https://www.imdb.com/title/tt9526826/,8.3,3057,140.0,"['Comedy', 'Drama']",, ~data not found~ ,IMDB
Dveselu putenis,https://www.imdb.com/title/tt6084202/,8.7,1151,104.0,"['Drama', 'History', 'War']",, ~data not found~ ,IMDB
The Good Liar,https://www.imdb.com/title/tt5563334/,6.6,18933,109.0,"['Crime', 'Drama', 'Mystery']",R,55,IMDB
Noelle,https://www.imdb.com/title/tt5097410/,6.2,10166,100.0,"['Comedy', 'Family', 'Fantasy']",G,48,IMDB
Klaus,https://www.imdb.com/title/tt4729430/,8.2,72551,96.0,"['Animation', 'Adventure', 'Comedy']",PG,65,IMDB
Let It Snow,https://www.imdb.com/title/tt1950235/,5.8,15380,92.0,"['Comedy', 'Romance']",PG-13,51,IMDB
Bala,https://www.imdb.com/title/tt9420648/,7.4,10120,133.0,['Comedy'],Not Rated, ~data not found~ ,IMDB
Playing with Fire,https://www.imdb.com/title/tt9134216/,4.9,8347,96.0,"['Comedy', 'Family']",PG,24,IMDB
Last Christmas,https://www.imdb.com/title/tt8623904/,6.5,36165,103.0,"['Comedy', 'Drama', 'Romance']",PG-13,50,IMDB
Recep Ivedik 6,https://www.imdb.com/title/tt7399138/,2.8,4456,110.0,['Comedy'],, ~data not found~ ,IMDB
Frozen II,https://www.imdb.com/title/tt4520988/,6.9,118275,103.0,"['Animation', 'Adventure', 'Comedy']",PG,64,IMDB
Primal,https://www.imdb.com/title/tt7394816/,4.9,3815,97.0,"['Action', 'Thriller']",R,32,IMDB
Holiday in the Wild,https://www.imdb.com/title/tt8510488/,6.1,9935,85.0,"['Comedy', 'Drama', 'Romance']",TV-PG, ~data not found~ ,IMDB
Drive,https://www.imdb.com/title/tt6593054/,2.8,3804,147.0,"['Action', 'Crime', 'Thriller']",Not Rated, ~data not found~ ,IMDB
Arctic Dogs,https://www.imdb.com/title/tt4426464/,4.6,1141,92.0,"['Animation', 'Adventure', 'Comedy']",PG,28,IMDB
Ujda Chaman,https://www.imdb.com/title/tt11046300/,6.9,4448,120.0,['Comedy'],Not Rated, ~data not found~ ,IMDB
Badland,https://www.imdb.com/title/tt10253466/,5.8,1885,117.0,['Western'],TV-14,46,IMDB
Drakulics elvtÃ¡rs,https://www.imdb.com/title/tt7759362/,6.7,1309,95.0,"['Comedy', 'Fantasy', 'Mystery']",, ~data not found~ ,IMDB
L'uomo del labirinto,https://www.imdb.com/title/tt8594376/,5.5,1075,130.0,"['Horror', 'Mystery', 'Thriller']",, ~data not found~ ,IMDB
Doctor Sleep,https://www.imdb.com/title/tt5606664/,7.4,113464,152.0,"['Drama', 'Fantasy', 'Horror']",R,59,IMDB
The Nomads,https://www.imdb.com/title/tt8910924/,8.2,1107,97.0,"['Drama', 'Sport']",TV-14, ~data not found~ ,IMDB
Cinayet SÃ¼sÃ¼,https://www.imdb.com/title/tt9675274/,6.7,10343,112.0,"['Comedy', 'Crime']",, ~data not found~ ,IMDB
Better Days,https://www.imdb.com/title/tt9586294/,7.5,2156,135.0,"['Crime', 'Drama', 'Family']",,83,IMDB
