Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Fascination,https://www.imdb.com/title/tt0079135/,6.1,2405,80.0,['Horror'],Not Rated,,IMDB,Fascination (1979) ,"
Country:
France
","
Language:
French
","
Release Date: November 1979 (West Germany)
    
See more »
    
"
French Fried Vacation 2,https://www.imdb.com/title/tt0078907/,7.5,7281,90.0,['Comedy'],Not Rated,,IMDB,French Fried Vacation 2 (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 22 November 1979 (France)
    
See more »
    
"
Last Hurrah for Chivalry,https://www.imdb.com/title/tt0077655/,7.1,1360,106.0,"['Action', 'Drama']",Not Rated,,IMDB,Last Hurrah for Chivalry (1979) ,"
Country:
Hong Kong
","
Language:
Cantonese
","
Release Date: 22 November 1979 (Hong Kong)
    
See more »
    
"
The Silent Scream,https://www.imdb.com/title/tt0081515/,5.9,1377,87.0,"['Horror', 'Thriller']",R,,IMDB,The Silent Scream (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 January 1980 (USA)
    
See more »
    
"
Beyond the Darkness,https://www.imdb.com/title/tt0078916/,6.3,4264,94.0,['Horror'],Not Rated,,IMDB,Beyond the Darkness (1979) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 1 June 1984 (USA)
    
See more »
    
"
The Rose,https://www.imdb.com/title/tt0079826/,7.0,7652,125.0,"['Drama', 'Music', 'Romance']",R,67.0,IMDB,The Rose (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 November 1979 (USA)
    
See more »
    
"
Don Giovanni,https://www.imdb.com/title/tt0079063/,7.6,1077,176.0,"['Drama', 'Music']",,,IMDB,Don Giovanni (1979) ,"
Country:
France
|
Italy
|
West Germany
","
Language:
Italian
","
Release Date: 14 November 1979 (France)
    
See more »
    
"
The Great Alligator,https://www.imdb.com/title/tt0079156/,4.5,1003,89.0,['Horror'],Not Rated,,IMDB,The Great Alligator (1979) ,"
Country:
Italy
","
Language:
Italian
|
English
","
Release Date: 3 November 1979 (Italy)
    
See more »
    
"
The Kid with the Golden Arm,https://www.imdb.com/title/tt0079372/,7.1,1290,75.0,"['Action', 'Drama']",R,,IMDB,The Kid with the Golden Arm (1979) ,"
Country:
Hong Kong
","
Language:
Mandarin
","
Release Date: 2 November 1979 (Hong Kong)
    
See more »
    
"
Microwave Massacre,https://www.imdb.com/title/tt0085937/,4.2,2090,76.0,"['Comedy', 'Horror']",Not Rated,,IMDB,Microwave Massacre (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 31 August 1983 (USA)
    
See more »
    
"
The Great Santini,https://www.imdb.com/title/tt0079239/,7.2,5528,115.0,['Drama'],PG,64.0,IMDB,The Great Santini (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 October 1979 (USA)
    
See more »
    
"
Tess,https://www.imdb.com/title/tt0080009/,7.3,14781,170.0,"['Drama', 'Romance']",PG,82.0,IMDB,Tess (1979) ,"
Country:
UK
|
France
","
Language:
English
","
Release Date: 12 December 1980 (USA)
    
See more »
    
"
Meteor,https://www.imdb.com/title/tt0079550/,5.0,6456,108.0,"['Action', 'Drama', 'Sci-Fi']",PG,27.0,IMDB,Meteor (1979) ,"
Country:
USA
|
Hong Kong
","
Language:
English
|
Russian
","
Release Date: 19 October 1979 (USA)
    
See more »
    
"
The Jesus Film,https://www.imdb.com/title/tt0079368/,7.1,2085,117.0,"['Biography', 'Drama', 'Family']",G,,IMDB,The Jesus Film (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 October 1979 (USA)
    
See more »
    
"
The Black Stallion,https://www.imdb.com/title/tt0078872/,7.3,11406,118.0,"['Adventure', 'Family', 'Sport']",G,84.0,IMDB,The Black Stallion (1979) ,"
Country:
USA
","
Language:
English
|
Arabic
|
Italian
","
Release Date: 17 October 1979 (USA)
    
See more »
    
"
Starting Over,https://www.imdb.com/title/tt0079948/,6.5,2236,105.0,"['Comedy', 'Romance']",R,64.0,IMDB,Starting Over (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 October 1979 (USA)
    
See more »
    
"
10,https://www.imdb.com/title/tt0078721/,6.1,14899,122.0,"['Comedy', 'Romance']",Approved,68.0,IMDB,10 (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 October 1979 (USA)
    
See more »
    
"
Disco Godfather,https://www.imdb.com/title/tt0074412/,5.4,1178,93.0,"['Action', 'Crime', 'Drama']",R,,IMDB,Disco Godfather (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1979 (USA)
    
See more »
    
"
Thirst,https://www.imdb.com/title/tt0080016/,5.8,1190,93.0,"['Drama', 'Horror', 'Mystery']",R,,IMDB,Thirst (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 29 September 1979 (USA)
    
See more »
    
"
Yanks,https://www.imdb.com/title/tt0080157/,6.4,3045,138.0,"['Drama', 'War']",R,,IMDB,Yanks (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 2 November 1979 (UK)
    
See more »
    
"
Mama Turns 100,https://www.imdb.com/title/tt0079517/,7.3,1055,100.0,"['Comedy', 'Drama', 'Fantasy']",Not Rated,,IMDB,Mama Turns 100 (1979) ,"
Country:
Spain
|
France
","
Language:
Spanish
","
Release Date: September 1988 (USA)
    
See more »
    
"
And Justice for All,https://www.imdb.com/title/tt0078718/,7.4,29920,119.0,"['Crime', 'Drama', 'Thriller']",R,58.0,IMDB,And Justice for All (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 October 1979 (USA)
    
See more »
    
"
The Bugs Bunny/Road-Runner Movie,https://www.imdb.com/title/tt0078915/,7.3,3619,98.0,"['Animation', 'Comedy', 'Family']",G,,IMDB,The Bugs Bunny/Road-Runner Movie (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 September 1979 (USA)
    
See more »
    
"
Scum,https://www.imdb.com/title/tt0079871/,7.6,9843,98.0,"['Crime', 'Drama']",R,,IMDB,Scum (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 28 September 1979 (UK)
    
See more »
    
"
Time After Time,https://www.imdb.com/title/tt0080025/,7.1,14890,112.0,"['Adventure', 'Drama', 'Sci-Fi']",PG,69.0,IMDB,Time After Time (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 September 1979 (USA)
    
See more »
    
"
The Onion Field,https://www.imdb.com/title/tt0079668/,6.8,4413,122.0,"['Crime', 'Drama']",R,57.0,IMDB,The Onion Field (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 February 1980 (UK)
    
See more »
    
"
Camera Buff,https://www.imdb.com/title/tt0078763/,7.9,6084,112.0,"['Comedy', 'Drama', 'Romance']",Not Rated,,IMDB,Camera Buff (1979) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 14 February 1980 (Netherlands)
    
See more »
    
"
The Clonus Horror,https://www.imdb.com/title/tt0078062/,3.8,2196,90.0,"['Horror', 'Romance', 'Sci-Fi']",R,,IMDB,The Clonus Horror (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: August 1979 (USA)
    
See more »
    
"
Osenniy marafon,https://www.imdb.com/title/tt0079679/,7.9,2740,90.0,"['Comedy', 'Drama', 'Romance']",,,IMDB,Osenniy marafon (1979) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 23 November 1979 (Finland)
    
See more »
    
"
Luna,https://www.imdb.com/title/tt0079495/,6.5,4175,142.0,['Drama'],R,,IMDB,Luna (1979) ,"
Country:
Italy
|
USA
","
Language:
Italian
|
English
","
Release Date: 30 September 1979 (USA)
    
See more »
    
"
'Hukkunud Alpinisti' hotell,https://www.imdb.com/title/tt0204526/,6.8,1122,80.0,"['Crime', 'Drama', 'Sci-Fi']",,,IMDB,'Hukkunud Alpinisti' hotell (1979) ,"
Country:
Soviet Union
","
Language:
Estonian
|
Russian
","
Release Date: 27 August 1979 (Estonia)
    
See more »
    
"
Zombie,https://www.imdb.com/title/tt0080057/,6.9,24849,91.0,['Horror'],R,54.0,IMDB,Zombie (1979) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 18 July 1980 (USA)
    
See more »
    
"
When a Stranger Calls,https://www.imdb.com/title/tt0080130/,6.5,9324,97.0,"['Horror', 'Mystery', 'Thriller']",R,58.0,IMDB,When a Stranger Calls (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 October 1979 (USA)
    
See more »
    
"
Black Stone,https://www.imdb.com/title/tt0079386/,7.7,2058,176.0,"['Action', 'Drama', 'History']",Not Rated,,IMDB,Black Stone (1979) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 August 1979 (India)
    
See more »
    
"
The Seduction of Joe Tynan,https://www.imdb.com/title/tt0079875/,6.0,1508,108.0,['Drama'],R,,IMDB,The Seduction of Joe Tynan (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
Monty Python's Life of Brian,https://www.imdb.com/title/tt0079470/,8.1,357932,94.0,['Comedy'],R,77.0,IMDB,Monty Python's Life of Brian (1979) ,"
Country:
UK
","
Language:
English
|
Latin
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
Caligula,https://www.imdb.com/title/tt0080491/,5.4,32908,156.0,"['Drama', 'History']",Not Rated,,IMDB,Caligula (1979) ,"
Country:
Italy
","
Language:
Italian
|
English
","
Release Date: 15 February 1980 (USA)
    
See more »
    
"
Uno sceriffo extraterrestre... poco extra e molto terrestre,https://www.imdb.com/title/tt0079859/,6.2,3402,95.0,"['Action', 'Comedy', 'Family']",,,IMDB,Uno sceriffo extraterrestre... poco extra e molto terrestre (1979) ,"
Country:
Italy
","
Language:
Italian
|
English
","
Release Date: 10 August 1979 (West Germany)
    
See more »
    
"
Doing Time,https://www.imdb.com/title/tt0079738/,7.2,2588,93.0,"['Comedy', 'Crime']",,,IMDB,Doing Time (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 16 November 1979 (USA)
    
See more »
    
"
Mission Galactica: The Cylon Attack,https://www.imdb.com/title/tt0077937/,7.1,1476,108.0,"['Action', 'Adventure', 'Sci-Fi']",,,IMDB,Mission Galactica: The Cylon Attack (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 1979 (USA)
    
See more »
    
"
Ginga tetsudÃ´ Three-Nine,https://www.imdb.com/title/tt0080772/,7.4,1821,129.0,"['Animation', 'Action', 'Adventure']",PG,,IMDB,Ginga tetsudô Three-Nine (1979) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 8 August 1981 (USA)
    
See more »
    
"
North Dallas Forty,https://www.imdb.com/title/tt0079640/,7.0,4573,119.0,"['Comedy', 'Drama', 'Sport']",R,80.0,IMDB,North Dallas Forty (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 August 1979 (USA)
    
See more »
    
"
More American Graffiti,https://www.imdb.com/title/tt0079576/,5.3,3970,110.0,"['Comedy', 'Drama', 'War']",PG,44.0,IMDB,More American Graffiti (1979) ,"
Country:
USA
","
Language:
English
|
Icelandic
","
Release Date: 3 August 1979 (USA)
    
See more »
    
"
The Concorde... Airport '79,https://www.imdb.com/title/tt0078740/,4.5,5448,113.0,"['Action', 'Drama', 'Thriller']",PG,39.0,IMDB,The Concorde... Airport '79 (1979) ,"
Country:
USA
","
Language:
English
|
French
|
Spanish
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
The Amityville Horror,https://www.imdb.com/title/tt0078767/,6.3,34299,117.0,['Horror'],R,28.0,IMDB,The Amityville Horror (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 July 1979 (USA)
    
See more »
    
"
The Villain,https://www.imdb.com/title/tt0080097/,5.4,6403,89.0,"['Comedy', 'Western']",PG,22.0,IMDB,The Villain (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 July 1979 (USA)
    
See more »
    
"
Tim,https://www.imdb.com/title/tt0080024/,6.4,3053,109.0,"['Drama', 'Romance']",Not Rated,,IMDB,Tim (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 13 July 1979 (Australia)
    
See more »
    
"
Dracula,https://www.imdb.com/title/tt0079073/,6.5,8841,109.0,"['Drama', 'Horror', 'Romance']",R,67.0,IMDB,Dracula (1979) ,"
Country:
UK
","
Language:
English
|
Dutch
|
Romanian
|
Russian
","
Release Date: 20 July 1979 (USA)
    
See more »
    
"
Breaking Away,https://www.imdb.com/title/tt0078902/,7.7,21214,101.0,"['Comedy', 'Drama', 'Romance']",PG,91.0,IMDB,Breaking Away (1979) ,"
Country:
USA
","
Language:
English
|
Italian
|
French
","
Release Date: 20 July 1979 (USA)
    
See more »
    
"
Over the Edge,https://www.imdb.com/title/tt0079688/,7.4,5888,95.0,"['Crime', 'Drama']",PG,67.0,IMDB,Over the Edge (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 July 1979 (Japan)
    
See more »
    
"
The Frisco Kid,https://www.imdb.com/title/tt0079180/,6.4,8314,119.0,"['Comedy', 'Drama', 'Western']",PG,38.0,IMDB,The Frisco Kid (1979) ,"
Country:
USA
","
Language:
English
|
Yiddish
","
Release Date: 13 July 1979 (USA)
    
See more »
    
"
Avalanche Express,https://www.imdb.com/title/tt0078812/,5.0,1177,88.0,"['Action', 'Thriller']",PG,,IMDB,Avalanche Express (1979) ,"
Country:
Ireland
|
USA
","
Language:
English
|
Russian
","
Release Date: 19 October 1979 (USA)
    
See more »
    
"
The Wanderers,https://www.imdb.com/title/tt0080117/,7.4,9809,112.0,['Drama'],R,64.0,IMDB,The Wanderers (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 July 1979 (USA)
    
See more »
    
"
Wanda Nevada,https://www.imdb.com/title/tt0080116/,5.6,1127,107.0,"['Comedy', 'Mystery', 'Romance']",PG,,IMDB,Wanda Nevada (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1979 (USA)
    
See more »
    
"
Killer Fish,https://www.imdb.com/title/tt0077800/,4.1,1616,101.0,"['Horror', 'Sci-Fi', 'Thriller']",PG,,IMDB,Killer Fish (1979) ,"
Country:
Italy
|
France
|
UK
","
Language:
English
|
Portuguese
|
Italian
","
Release Date: 7 December 1979 (USA)
    
See more »
    
"
Bloodline,https://www.imdb.com/title/tt0078879/,4.6,1396,116.0,"['Crime', 'Drama', 'Mystery']",R,,IMDB,Bloodline (1979) ,"
Country:
West Germany
|
USA
","
Language:
English
|
Italian
|
German
|
French
","
Release Date: 29 June 1979 (USA)
    
See more »
    
"
Meatballs,https://www.imdb.com/title/tt0079540/,6.2,18626,94.0,['Comedy'],PG,60.0,IMDB,Meatballs (1979) ,"
Country:
Canada
","
Language:
English
","
Release Date: 29 June 1979 (USA)
    
See more »
    
"
The Apple Dumpling Gang Rides Again,https://www.imdb.com/title/tt0078790/,6.2,2391,88.0,"['Comedy', 'Family', 'Western']",G,37.0,IMDB,The Apple Dumpling Gang Rides Again (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 June 1979 (USA)
    
See more »
    
"
Moonraker,https://www.imdb.com/title/tt0079574/,6.3,88272,126.0,"['Action', 'Adventure', 'Sci-Fi']",PG,66.0,IMDB,Moonraker (1979) ,"
Country:
UK
|
France
","
Language:
English
|
Italian
|
Portuguese
","
Release Date: 29 June 1979 (USA)
    
See more »
    
"
Nightwing,https://www.imdb.com/title/tt0079631/,5.0,1061,105.0,['Horror'],PG,,IMDB,Nightwing (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
The Main Event,https://www.imdb.com/title/tt0079510/,5.6,2594,112.0,"['Comedy', 'Romance', 'Sport']",PG,,IMDB,The Main Event (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
Escape from Alcatraz,https://www.imdb.com/title/tt0079116/,7.6,115674,112.0,"['Biography', 'Crime', 'Drama']",PG,76.0,IMDB,Escape from Alcatraz (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
Prophecy,https://www.imdb.com/title/tt0079758/,5.5,4297,102.0,"['Horror', 'Sci-Fi', 'Thriller']",PG,41.0,IMDB,Prophecy (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 August 1979 (France)
    
See more »
    
"
The In-Laws,https://www.imdb.com/title/tt0079336/,7.3,7330,103.0,"['Action', 'Adventure', 'Comedy']",PG,,IMDB,The In-Laws (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
|
Mandarin
","
Release Date: 12 September 1979 (France)
    
See more »
    
"
The Driller Killer,https://www.imdb.com/title/tt0079082/,5.1,6431,96.0,"['Drama', 'Horror', 'Thriller']",Not Rated,66.0,IMDB,The Driller Killer (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 June 1979 (USA)
    
See more »
    
"
Butch and Sundance: The Early Days,https://www.imdb.com/title/tt0078919/,5.7,1277,115.0,"['Comedy', 'Western']",PG,,IMDB,Butch and Sundance: The Early Days (1979) ,"
Country:
USA
","
Language:
English
|
Cantonese
","
Release Date: 1979 (UK)
    
See more »
    
"
Rocky II,https://www.imdb.com/title/tt0079817/,7.3,186397,119.0,"['Drama', 'Sport']",PG,61.0,IMDB,Rocky II (1979) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 15 June 1979 (USA)
    
See more »
    
"
Mr. Natwarlal,https://www.imdb.com/title/tt0079584/,6.6,1272,148.0,"['Action', 'Comedy', 'Romance']",,,IMDB,Mr. Natwarlal (1979) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 8 June 1979 (India)
    
See more »
    
"
Siberiade,https://www.imdb.com/title/tt0079907/,8.0,1840,206.0,"['Drama', 'History', 'Romance']",,,IMDB,Siberiade (1979) ,"
Country:
Soviet Union
","
Language:
Russian
|
German
","
Release Date: 16 May 1980 (Finland)
    
See more »
    
"
My Brilliant Career,https://www.imdb.com/title/tt0079596/,7.1,3604,100.0,"['Biography', 'Drama', 'Romance']",G,77.0,IMDB,My Brilliant Career (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 17 August 1979 (Australia)
    
See more »
    
"
The Muppet Movie,https://www.imdb.com/title/tt0079588/,7.6,31764,95.0,"['Adventure', 'Comedy', 'Family']",G,74.0,IMDB,The Muppet Movie (1979) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
The Lady Vanishes,https://www.imdb.com/title/tt0079428/,6.0,2275,95.0,"['Action', 'Comedy', 'Mystery']",PG,,IMDB,The Lady Vanishes (1979) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: March 1980 (USA)
    
See more »
    
"
H.O.T.S.,https://www.imdb.com/title/tt0079257/,4.6,1662,98.0,['Comedy'],R,,IMDB,H.O.T.S. (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: May 1979 (USA)
    
See more »
    
"
