,Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date
51,Commando 3,https://www.imdb.com/title/tt8983168/,5.5,1800,133.0,"['Action', 'Thriller']",Not Rated,,IMDB,['India'],['Hindi'],2019-11-29
52,Yeh Saali Aashiqui,https://www.imdb.com/title/tt10443846/,7.9,2178,137.0,['Thriller'],,,IMDB,['India'],['Hindi'],2019-11-29
53,Holiday Rush,https://www.imdb.com/title/tt10091530/,4.8,1611,92.0,"['Comedy', 'Romance']",TV-PG,,IMDB,['USA'],['English'],2019-11-28
54,Enai Noki Paayum Thota,https://www.imdb.com/title/tt5483626/,5.7,1211,153.0,"['Action', 'Drama', 'Romance']",Not Rated,,IMDB,['India'],['Tamil'],2019-11-29
55,Kholop,https://www.imdb.com/title/tt11418452/,6.7,2446,109.0,['Comedy'],Not Rated,,IMDB,['Russia'],['Russian'],2019-11-24
56,Les traducteurs,https://www.imdb.com/title/tt6270534/,6.4,2064,105.0,"['Mystery', 'Thriller']",,,IMDB,"['France', 'Belgium']","['Italian', 'Portuguese', 'Danish', 'Russian', 'French', 'English', 'Greek', 'Mandarin', 'Spanish']",2020-01-29
57,Cep HerkÃÂ¼lÃÂ¼: Naim SÃÂ¼leymanoglu,https://www.imdb.com/title/tt9500372/,8.7,2332,141.0,"['Biography', 'Drama', 'Sport']",,,IMDB,['Turkey'],"['Turkish', 'English', 'Bulgarian']",2019-11-22
58,Pagalpanti,https://www.imdb.com/title/tt9495690/,3.1,1761,149.0,"['Action', 'Comedy']",Not Rated,,IMDB,['India'],['Hindi'],2019-11-22
59,3022,https://www.imdb.com/title/tt9465600/,4.7,3180,91.0,['Sci-Fi'],R,,IMDB,['USA'],"['English', 'French']",2019-11-22
60,Blue Story,https://www.imdb.com/title/tt9285882/,5.8,2175,91.0,"['Crime', 'Drama']",R,6.9,IMDB,['UK'],['English'],2020-05-05
61,The Courier,https://www.imdb.com/title/tt9207616/,4.9,4804,99.0,"['Action', 'Crime', 'Drama']",R,1.5,IMDB,['UK'],['English'],2019-11-22
62,Kettiyollaanu Ente Maalakha,https://www.imdb.com/title/tt10452480/,7.6,1225,135.0,"['Comedy', 'Drama']",,,IMDB,['India'],['Malayalam'],2019-12-13
63,The Knight Before Christmas,https://www.imdb.com/title/tt10060094/,5.5,12034,92.0,"['Adventure', 'Comedy', 'Drama']",TV-PG,,IMDB,['USA'],['English'],2019-11-21
64,Richard Jewell,https://www.imdb.com/title/tt3513548/,7.5,44098,131.0,"['Biography', 'Crime', 'Drama']",R,6.8,IMDB,['USA'],['English'],2019-12-13
65,Koma,https://www.imdb.com/title/tt6087226/,6.5,2338,111.0,"['Action', 'Adventure', 'Fantasy']",,,IMDB,['Russia'],['Russian'],2020-01-30
66,Penoza: The Final Chapter,https://www.imdb.com/title/tt9272572/,6.4,1163,116.0,"['Crime', 'Drama', 'Thriller']",,,IMDB,['Netherlands'],['Dutch'],2019-11-18
67,Marjaavaan,https://www.imdb.com/title/tt9248934/,3.5,2461,152.0,"['Action', 'Drama', 'Romance']",Not Rated,,IMDB,['India'],['Hindi'],2019-11-15
68,Motichoor Chaknachoor,https://www.imdb.com/title/tt9172840/,5.8,1939,150.0,"['Comedy', 'Romance']",,,IMDB,['India'],,2019-11-15
69,The Silence of the Marsh,https://www.imdb.com/title/tt8743032/,4.9,2814,92.0,['Thriller'],,,IMDB,['Spain'],['Spanish'],2020-04-22
70,Grand Isle,https://www.imdb.com/title/tt8380776/,4.5,1666,97.0,"['Action', 'Thriller']",,2.9,IMDB,['USA'],['English'],2020-01-03
71,The Turkey Bowl,https://www.imdb.com/title/tt7919810/,6.0,1188,120.0,['Comedy'],R,,IMDB,['USA'],['English'],2019-11-15
72,Radioflash,https://www.imdb.com/title/tt7288408/,5.6,2071,103.0,"['Action', 'Drama', 'Sci-Fi']",Unrated,3.4,IMDB,['USA'],['English'],2019-11-15
73,Line of Duty,https://www.imdb.com/title/tt3541524/,5.3,3751,98.0,"['Action', 'Crime', 'Thriller']",R,5.0,IMDB,"['UK', 'USA']",['English'],2019-11-15
74,House Arrest,https://www.imdb.com/title/tt11163028/,5.5,1253,104.0,['Comedy'],,,IMDB,['India'],['Hindi'],2019-11-15
75,Helen,https://www.imdb.com/title/tt10735202/,7.7,1713,117.0,"['Drama', 'Thriller']",,,IMDB,['India'],['Malayalam'],2019-12-06
76,Queen & Slim,https://www.imdb.com/title/tt8722346/,7.0,17001,132.0,"['Crime', 'Drama', 'Romance']",R,7.4,IMDB,"['USA', 'Canada']",['English'],2019-11-27
77,Dark Waters,https://www.imdb.com/title/tt9071322/,7.6,41284,126.0,"['Biography', 'Drama', 'History']",PG-13,7.3,IMDB,['USA'],"['English', 'Korean']",2019-12-06
78,Lady and the Tramp,https://www.imdb.com/title/tt8096832/,6.3,13305,103.0,"['Adventure', 'Comedy', 'Drama']",PG,4.8,IMDB,['USA'],['English'],2019-11-12
79,Charlie's Angels,https://www.imdb.com/title/tt5033998/,4.7,45248,118.0,"['Action', 'Adventure', 'Comedy']",PG-13,5.2,IMDB,"['Germany', 'USA']","['English', 'French', 'Portuguese', 'German', 'Turkish']",2019-11-15
80,Android Kunjappan Ver 5.25,https://www.imdb.com/title/tt9526826/,8.3,3057,140.0,"['Comedy', 'Drama']",,,IMDB,['India'],['Malayalam'],2019-11-22
81,Dveselu putenis,https://www.imdb.com/title/tt6084202/,8.7,1151,104.0,"['Drama', 'History', 'War']",,,IMDB,['Latvia'],['Latvian'],2019-11-08
82,The Good Liar,https://www.imdb.com/title/tt5563334/,6.6,18933,109.0,"['Crime', 'Drama', 'Mystery']",R,5.5,IMDB,"['UK', 'Germany', 'USA']","['English', 'German', 'Russian', 'French', 'Spanish']",2019-11-15
83,Noelle,https://www.imdb.com/title/tt5097410/,6.2,10166,100.0,"['Comedy', 'Family', 'Fantasy']",G,4.8,IMDB,['USA'],['English'],2019-11-12
84,Klaus,https://www.imdb.com/title/tt4729430/,8.2,72551,96.0,"['Animation', 'Adventure', 'Comedy']",PG,6.5,IMDB,"['Spain', 'UK']","['English', 'Saami']",2019-11-15
85,Let It Snow,https://www.imdb.com/title/tt1950235/,5.8,15380,92.0,"['Comedy', 'Romance']",PG-13,5.1,IMDB,['USA'],['English'],2019-11-08
