Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Tigertail,https://www.imdb.com/title/tt8902948/,6.4,2451,91.0,['Drama'],PG,65.0,IMDB,Tigertail (2020) ,"
Country:
USA
","
Language:
English
|
Min Nan
|
Mandarin
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
Love Wedding Repeat,https://www.imdb.com/title/tt5096470/,5.5,15079,100.0,"['Comedy', 'Romance']",,41.0,IMDB,Love Wedding Repeat (2020) ,"
Country:
UK
|
Italy
","
Language:
English
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
Bamfaad,https://www.imdb.com/title/tt11730940/,7.5,1481,102.0,['Romance'],,,IMDB,Bamfaad (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 10 April 2020 (India)
    
See more »
    
"
The Main Event,https://www.imdb.com/title/tt10540242/,4.7,1564,101.0,"['Action', 'Comedy', 'Family']",,52.0,IMDB,The Main Event (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
Axcellerator,https://www.imdb.com/title/tt6143798/,5.1,1057,91.0,"['Action', 'Sci-Fi']",,,IMDB,Axcellerator (2020) ,"
Country:
USA
", ~data not found~ ,"
Release Date: 8 April 2020 (USA)
    
See more »
    
"
Coffee & Kareem,https://www.imdb.com/title/tt9898858/,5.1,10360,88.0,"['Action', 'Comedy']",,35.0,IMDB,Coffee & Kareem (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 April 2020 (USA)
    
See more »
    
"
Shooting Heroin,https://www.imdb.com/title/tt8332454/,6.5,2865,90.0,"['Action', 'Drama', 'Thriller']",R,,IMDB,Shooting Heroin (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 April 2020 (USA)
    
See more »
    
"
Uncorked,https://www.imdb.com/title/tt9261218/,6.2,3468,104.0,['Drama'],,62.0,IMDB,Uncorked (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 March 2020 (USA)
    
See more »
    
"
Body Cam,https://www.imdb.com/title/tt8179024/,5.2,1472,96.0,"['Horror', 'Mystery', 'Thriller']",R,37.0,IMDB,Body Cam (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 May 2020 (UK)
    
See more »
    
"
Maska,https://www.imdb.com/title/tt11953628/,5.9,1114,111.0,"['Comedy', 'Drama', 'Romance']",,,IMDB,Maska (2020) ,"
Country:
India
","
Language:
English
|
Hindi
|
Parsee
","
Release Date: 30 March 2020 (India)
    
See more »
    
"
The Occupant,https://www.imdb.com/title/tt9345754/,6.3,10770,103.0,"['Adventure', 'Drama', 'Thriller']",,,IMDB,The Occupant (2020) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 25 March 2020 (USA)
    
See more »
    
"
Nobody Sleeps in the Woods Tonight,https://www.imdb.com/title/tt11240506/,5.0,1175,102.0,['Horror'],,,IMDB,Nobody Sleeps in the Woods Tonight (2020) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 20 March 2020 (Poland)
    
See more »
    
"
Altered Carbon: Resleeved,https://www.imdb.com/title/tt9310328/,6.5,4003,74.0,"['Animation', 'Action', 'Crime']",,,IMDB,Altered Carbon: Resleeved (2020) ,"
Country:
Japan
|
USA
","
Language:
Japanese
","
Release Date: 19 March 2020 (USA)
    
See more »
    
"
Stargirl,https://www.imdb.com/title/tt4858674/,6.2,2913,107.0,"['Comedy', 'Drama', 'Romance']",PG,61.0,IMDB,Stargirl (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
The Postcard Killings,https://www.imdb.com/title/tt4106514/,5.7,3845,104.0,"['Crime', 'Drama', 'Mystery']",Not Rated,29.0,IMDB,The Postcard Killings (2020) ,"
Country:
UK
|
USA
","
Language:
English
|
Swedish
|
Russian
|
German
|
French
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
Trolls World Tour,https://www.imdb.com/title/tt6587640/,6.1,10821,90.0,"['Animation', 'Adventure', 'Comedy']",PG,51.0,IMDB,Trolls World Tour (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
I Still Believe,https://www.imdb.com/title/tt9779516/,6.6,5616,116.0,"['Biography', 'Drama', 'Music']",PG,41.0,IMDB,I Still Believe (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
Angrezi Medium,https://www.imdb.com/title/tt8907986/,7.3,9125,145.0,"['Comedy', 'Drama']",,,IMDB,Angrezi Medium (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
The Hunt,https://www.imdb.com/title/tt8244784/,6.5,48060,90.0,"['Action', 'Horror', 'Thriller']",R,50.0,IMDB,The Hunt (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
Ultras,https://www.imdb.com/title/tt10937434/,5.9,3727,108.0,['Drama'],,,IMDB,Ultras (2020) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 9 March 2020 (Italy)
    
See more »
    
"
Resistance,https://www.imdb.com/title/tt6914122/,6.1,2194,120.0,"['Biography', 'Drama', 'History']",R,53.0,IMDB,Resistance (2020) ,"
Country:
UK
|
France
|
Germany
|
USA
","
Language:
English
","
Release Date: 27 March 2020 (USA)
    
See more »
    
"
Spenser Confidential,https://www.imdb.com/title/tt8629748/,6.2,59482,111.0,"['Action', 'Comedy', 'Crime']",R,49.0,IMDB,Spenser Confidential (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Baaghi 3,https://www.imdb.com/title/tt8366590/,2.1,7161,143.0,"['Action', 'Thriller']",Not Rated,,IMDB,Baaghi 3 (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
The Banker,https://www.imdb.com/title/tt6285944/,7.2,13316,120.0,"['Biography', 'Drama']",PG-13,59.0,IMDB,The Banker (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 March 2020 (USA)
    
See more »
    
"
Kappela,https://www.imdb.com/title/tt11230868/,7.6,1487,113.0,"['Comedy', 'Romance']",,,IMDB,Kappela (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
Guilty,https://www.imdb.com/title/tt10062614/,5.5,3350,119.0,"['Drama', 'Thriller']",,,IMDB,Guilty (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 6 March 2020 (India)
    
See more »
    
"
The Hater,https://www.imdb.com/title/tt9506474/,7.1,2562,135.0,"['Animation', 'Drama', 'Thriller']",,61.0,IMDB,The Hater (2020) ,"
Country:
Poland
","
Language:
Polish
|
English
","
Release Date: 29 July 2020 (USA)
    
See more »
    
"
The Way Back,https://www.imdb.com/title/tt8544498/,6.7,21707,108.0,"['Drama', 'Sport']",R,66.0,IMDB,The Way Back (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Die KÃ¤nguru-Chroniken,https://www.imdb.com/title/tt7749142/,5.4,1216,92.0,['Comedy'],,,IMDB,Die Känguru-Chroniken (2020) ,"
Country:
Germany
","
Language:
German
|
English
","
Release Date: 5 March 2020 (Germany)
    
See more »
    
"
Bloodshot,https://www.imdb.com/title/tt1634106/,5.7,46203,109.0,"['Action', 'Drama', 'Sci-Fi']",PG-13,44.0,IMDB,Bloodshot (2020) ,"
Country:
USA
|
China
","
Language:
English
|
Persian
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
The Trip to Greece,https://www.imdb.com/title/tt10482504/,6.6,1690,103.0,"['Comedy', 'Drama']",,69.0,IMDB,The Trip to Greece (2020) ,"
Country:
UK
","
Language:
English
","
Release Date: 22 May 2020 (USA)
    
See more »
    
"
Escape from Pretoria,https://www.imdb.com/title/tt5797184/,6.8,14225,106.0,['Thriller'],PG-13,56.0,IMDB,Escape from Pretoria (2020) ,"
Country:
UK
|
Australia
|
USA
|
South Africa
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Kannum Kannum Kollaiyadithaal,https://www.imdb.com/title/tt8042292/,7.7,3617,160.0,"['Drama', 'Romance', 'Thriller']",,,IMDB,Kannum Kannum Kollaiyadithaal (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
All the Bright Places,https://www.imdb.com/title/tt3907584/,6.5,16478,107.0,"['Drama', 'Romance']",,61.0,IMDB,All the Bright Places (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Draupathi,https://www.imdb.com/title/tt11581264/,3.7,1230,159.0,"['Action', 'Drama']",,,IMDB,Draupathi (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 28 February 2020 (India)
    
See more »
    
"
Hit,https://www.imdb.com/title/tt11490170/,7.8,2481,125.0,"['Action', 'Crime', 'Drama']",Not Rated,,IMDB,Hit (2020) ,"
Country:
India
","
Language:
Telugu
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Doordarshan,https://www.imdb.com/title/tt11231440/,6.3,1297,119.0,"['Comedy', 'Drama']",,,IMDB,Doordarshan (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Thappad,https://www.imdb.com/title/tt10964430/,6.9,12476,142.0,['Drama'],,,IMDB,Thappad (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Forensic,https://www.imdb.com/title/tt10187680/,6.6,1928,134.0,"['Crime', 'Mystery', 'Thriller']",Not Rated,,IMDB,Forensic (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
The Decline,https://www.imdb.com/title/tt10307440/,5.9,5782,83.0,"['Action', 'Thriller']",,,IMDB,The Decline (2020) ,"
Country:
Canada
","
Language:
French
","
Release Date: 27 March 2020 (USA)
    
See more »
    
"
Favolacce,https://www.imdb.com/title/tt8526370/,6.9,2995,98.0,['Drama'],,,IMDB,Favolacce (2020) ,"
Country:
Italy
|
Switzerland
","
Language:
Italian
","
Release Date: 15 June 2020 (Italy)
    
See more »
    
"
The Invisible Man,https://www.imdb.com/title/tt1051906/,7.1,123383,124.0,"['Horror', 'Mystery', 'Sci-Fi']",R,72.0,IMDB,The Invisible Man (2020) ,"
Country:
Canada
|
Australia
|
USA
","
Language:
English
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Time to Hunt,https://www.imdb.com/title/tt11777040/,6.3,2439,134.0,"['Action', 'Crime', 'Drama']",,,IMDB,Time to Hunt (2020) ,"
Country:
South Korea
","
Language:
Korean
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
Impractical Jokers: The Movie,https://www.imdb.com/title/tt9208444/,6.0,3912,92.0,['Comedy'],PG-13,39.0,IMDB,Impractical Jokers: The Movie (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Onward,https://www.imdb.com/title/tt7146812/,7.4,73096,102.0,"['Animation', 'Adventure', 'Comedy']",PG,61.0,IMDB,Onward (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Bheeshma,https://www.imdb.com/title/tt11199356/,6.6,1523,150.0,"['Action', 'Comedy', 'Romance']",Not Rated,,IMDB,Bheeshma (2020) ,"
Country:
India
","
Language:
Telugu
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Miami Bici,https://www.imdb.com/title/tt10993566/,6.4,4626,98.0,['Comedy'],,,IMDB,Miami Bici (2020) ,"
Country:
Romania
","
Language:
Romanian
|
English
|
Spanish
|
French
","
Release Date: 21 February 2020 (Romania)
    
See more »
    
"
Mafia: Chapter 1,https://www.imdb.com/title/tt10594792/,6.0,1013,113.0,"['Action', 'Crime', 'Drama']",Not Rated,,IMDB,Mafia: Chapter 1 (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Bhoot: Part One - The Haunted Ship,https://www.imdb.com/title/tt10463030/,5.5,3511,114.0,"['Horror', 'Mystery', 'Thriller']",,,IMDB,Bhoot: Part One - The Haunted Ship (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Shubh Mangal Zyada Saavdhan,https://www.imdb.com/title/tt10309906/,5.8,6694,117.0,"['Comedy', 'Romance']",,,IMDB,Shubh Mangal Zyada Saavdhan (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Trance,https://www.imdb.com/title/tt6720802/,7.3,3203,170.0,"['Drama', 'Thriller']",Not Rated,,IMDB,Trance (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Bayi Toplantisi,https://www.imdb.com/title/tt11527964/,4.6,1512,114.0,['Comedy'],,,IMDB,Bayi Toplantisi (2020) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 21 February 2020 (Turkey)
    
See more »
    
"
Brahms: The Boy II,https://www.imdb.com/title/tt9173418/,4.6,8238,86.0,"['Drama', 'Horror', 'Mystery']",PG-13,29.0,IMDB,Brahms: The Boy II (2020) ,"
Country:
USA
|
China
|
Canada
|
Australia
","
Language:
English
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
The Night Clerk,https://www.imdb.com/title/tt7979142/,5.4,5960,90.0,"['Crime', 'Drama', 'Mystery']",R,44.0,IMDB,The Night Clerk (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
The Call of the Wild,https://www.imdb.com/title/tt7504726/,6.8,27683,100.0,"['Adventure', 'Drama', 'Family']",PG,47.0,IMDB,The Call of the Wild (2020) ,"
Country:
USA
|
Canada
","
Language:
English
|
French
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Isi & Ossi,https://www.imdb.com/title/tt9806322/,6.4,5247,113.0,"['Comedy', 'Romance']",,,IMDB,Isi & Ossi (2020) ,"
Country:
Germany
","
Language:
German
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
The Photograph,https://www.imdb.com/title/tt7798646/,5.9,2488,106.0,"['Drama', 'Romance']",PG-13,62.0,IMDB,The Photograph (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Spy Intervention,https://www.imdb.com/title/tt7369550/,4.5,1103,93.0,"['Action', 'Adventure', 'Comedy']",Not Rated,,IMDB,Spy Intervention (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Sufna,https://www.imdb.com/title/tt11173106/,8.2,1031,144.0,['Romance'],,,IMDB,Sufna (2020) ,"
Country:
India
","
Language:
Punjabi
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Oh My Kadavule,https://www.imdb.com/title/tt11143108/,8.1,2009,151.0,['Comedy'],,,IMDB,Oh My Kadavule (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Zenek,https://www.imdb.com/title/tt10132196/,2.3,1394,115.0,"['Biography', 'Music']",,,IMDB,Zenek (2020) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 14 February 2020 (Poland)
    
See more »
    
"
Emma.,https://www.imdb.com/title/tt9214832/,6.7,18635,124.0,"['Comedy', 'Drama']",PG,71.0,IMDB,Emma. (2020) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
World Famous Lover,https://www.imdb.com/title/tt10991188/,4.6,1386,154.0,['Romance'],,,IMDB,World Famous Lover (2020) ,"
Country:
India
","
Language:
Telugu
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
To All the Boys: P.S. I Still Love You,https://www.imdb.com/title/tt9354842/,6.0,20315,101.0,"['Comedy', 'Drama', 'Romance']",TV-14,54.0,IMDB,To All the Boys: P.S. I Still Love You (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 February 2020 (USA)
    
See more »
    
"
Love Aaj Kal,https://www.imdb.com/title/tt10023024/,5.0,6103,142.0,"['Drama', 'Romance']",,,IMDB,Love Aaj Kal (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Fantasy Island,https://www.imdb.com/title/tt0983946/,4.9,25127,109.0,"['Adventure', 'Fantasy', 'Horror']",PG-13,22.0,IMDB,Fantasy Island (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Malang,https://www.imdb.com/title/tt9877170/,6.5,6727,135.0,"['Action', 'Crime', 'Drama']",Not Rated,,IMDB,Malang (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
Ayyappanum Koshiyum,https://www.imdb.com/title/tt11322920/,7.9,3124,177.0,"['Action', 'Drama', 'Thriller']",Not Rated,,IMDB,Ayyappanum Koshiyum (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
Dia,https://www.imdb.com/title/tt11235142/,8.2,3181,137.0,['Drama'],,,IMDB,Dia (2020) ,"
Country:
India
","
Language:
Kannada
","
Release Date: 7 February 2020 (India)
    
See more »
    
"
Shikara,https://www.imdb.com/title/tt10930586/,3.6,5733,118.0,"['Drama', 'Romance']",Not Rated,,IMDB,Shikara (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
365 Days,https://www.imdb.com/title/tt10886166/,3.3,30188,114.0,"['Drama', 'Romance']",,,IMDB,365 Days (2020) ,"
Country:
Poland
","
Language:
Polish
|
English
|
Italian
","
Release Date: 7 February 2020 (Poland)
    
See more »
    
"
Varane Avashyamund,https://www.imdb.com/title/tt11531530/,6.9,1607,145.0,"['Drama', 'Family']",,,IMDB,Varane Avashyamund (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Cupid,https://www.imdb.com/title/tt10817348/,4.8,1117,83.0,['Horror'],,,IMDB,Cupid (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 February 2020 (USA)
    
See more »
    
"
Adu,https://www.imdb.com/title/tt9616700/,6.7,1394,119.0,['Drama'],,,IMDB,Adu (2020) ,"
Country:
Spain
","
Language:
French
|
English
|
Spanish
","
Release Date: 30 June 2020 (USA)
    
See more »
    
"
Jawaani Jaaneman,https://www.imdb.com/title/tt9248952/,6.7,5166,119.0,['Comedy'],Not Rated,,IMDB,Jawaani Jaaneman (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 31 January 2020 (USA)
    
See more »
    
"
Love Mocktail,https://www.imdb.com/title/tt10919132/,8.3,1963,153.0,"['Drama', 'Romance']",Not Rated,,IMDB,Love Mocktail (2020) ,"
Country:
India
","
Language:
Kannada
","
Release Date: 31 January 2020 (USA)
    
See more »
    
"
Gretel & Hansel,https://www.imdb.com/title/tt9086228/,5.3,17162,87.0,"['Fantasy', 'Horror', 'Mystery']",PG-13,64.0,IMDB,Gretel & Hansel (2020) ,"
Country:
Canada
|
USA
|
Ireland
|
South Africa
","
Language:
English
","
Release Date: 31 January 2020 (USA)
    
See more »
    
"
Eltilerin Savasi,https://www.imdb.com/title/tt11542214/,5.7,2176,118.0,"['Comedy', 'Family']",,,IMDB,Eltilerin Savasi (2020) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 31 January 2020 (Turkey)
    
See more »
    
"
Kartoffelsalat 3 - Das Musical,https://www.imdb.com/title/tt11449072/,6.7,2365,92.0,['Musical'],,,IMDB,Kartoffelsalat 3 - Das Musical (2020) ,"
Country:
Germany
","
Language:
German
","
Release Date: 30 January 2020 (Germany)
    
See more »
    
"
Klovn the Final,https://www.imdb.com/title/tt10927554/,6.9,1182,94.0,['Comedy'],Not Rated,,IMDB,Klovn the Final (2020) ,"
Country:
Denmark
","
Language:
Danish
","
Release Date: 30 January 2020 (Denmark)
    
See more »
    
"
I Hate Summer,https://www.imdb.com/title/tt10492998/,6.6,1042,110.0,['Comedy'],Not Rated,,IMDB,I Hate Summer (2020) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 30 January 2020 (Italy)
    
See more »
    
"
Sergio,https://www.imdb.com/title/tt8750570/,6.1,6891,118.0,"['Biography', 'Drama', 'History']",R,55.0,IMDB,Sergio (2020) ,"
Country:
USA
","
Language:
English
|
Portuguese
|
Spanish
|
French
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
Lost Girls,https://www.imdb.com/title/tt3111426/,6.1,13818,95.0,"['Drama', 'Mystery', 'Thriller']",R,67.0,IMDB,Lost Girls (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
The Last Thing He Wanted,https://www.imdb.com/title/tt7456312/,4.2,11072,115.0,"['Crime', 'Drama', 'Mystery']",R,35.0,IMDB,The Last Thing He Wanted (2020) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
The Rhythm Section,https://www.imdb.com/title/tt7134096/,5.2,8322,109.0,"['Action', 'Drama', 'Mystery']",R,45.0,IMDB,The Rhythm Section (2020) ,"
Country:
UK
|
USA
|
Spain
","
Language:
English
|
French
","
Release Date: 31 January 2020 (USA)
    
See more »
    
"
Horse Girl,https://www.imdb.com/title/tt11388406/,5.9,12288,103.0,"['Drama', 'Mystery', 'Thriller']",R,61.0,IMDB,Horse Girl (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
The Windermere Children,https://www.imdb.com/title/tt10370380/,7.3,1647,88.0,"['Drama', 'War']",Not Rated,,IMDB,The Windermere Children (2020) ,"
Country:
Germany
|
UK
","
Language:
English
","
Release Date: 5 April 2020 (USA)
    
See more »
    
"
Palm Springs,https://www.imdb.com/title/tt9484998/,7.5,32295,90.0,"['Comedy', 'Fantasy', 'Mystery']",R,84.0,IMDB,Palm Springs (2020) ,"
Country:
USA
|
Hong Kong
","
Language:
English
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
Downhill,https://www.imdb.com/title/tt4558376/,4.8,5245,86.0,"['Comedy', 'Drama']",R,49.0,IMDB,Downhill (2020) ,"
Country:
USA
","
Language:
English
|
German
|
Italian
|
Hindi
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Wendy,https://www.imdb.com/title/tt2420124/,5.7,1311,111.0,"['Drama', 'Fantasy']",PG-13,54.0,IMDB,Wendy (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
Relic,https://www.imdb.com/title/tt9072352/,5.9,6849,89.0,"['Drama', 'Horror']",R,77.0,IMDB,Relic (2020) ,"
Country:
Australia
|
USA
","
Language:
English
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
Shirley,https://www.imdb.com/title/tt8430598/,6.2,4036,107.0,"['Biography', 'Drama', 'Thriller']",R,76.0,IMDB,Shirley (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 June 2020 (USA)
    
See more »
    
"
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,https://www.imdb.com/title/tt7713068/,6.1,128696,109.0,"['Action', 'Adventure', 'Crime']",R,60.0,IMDB,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) ,"
Country:
USA
","
Language:
English
|
Chinese
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
Timmy Failure: Mistakes Were Made,https://www.imdb.com/title/tt6820324/,6.1,1669,99.0,"['Adventure', 'Comedy', 'Drama']",PG,60.0,IMDB,Timmy Failure: Mistakes Were Made (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
Possessor,https://www.imdb.com/title/tt5918982/,6.2,1254,102.0,"['Horror', 'Sci-Fi', 'Thriller']",,69.0,IMDB,Possessor (2020) ,"
Country:
UK
|
Canada
","
Language:
English
","
Release Date: 25 January 2020 (USA)
    
See more »
    
"
Sonic the Hedgehog,https://www.imdb.com/title/tt3794354/,6.6,72104,99.0,"['Action', 'Adventure', 'Comedy']",PG,47.0,IMDB,Sonic the Hedgehog (2020) ,"
Country:
USA
|
Japan
|
Canada
","
Language:
English
|
French
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
"Te quiero, imbÃ©cil",https://www.imdb.com/title/tt9359344/,5.8,2104,87.0,['Comedy'],,,IMDB,"Te quiero, imbécil (2020) ","
Country:
Spain
","
Language:
Spanish
","
Release Date: 24 January 2020 (Spain)
    
See more »
    
"
Psycho,https://www.imdb.com/title/tt9109976/,6.3,1876,134.0,"['Crime', 'Thriller']",Not Rated,,IMDB,Psycho (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
Panga,https://www.imdb.com/title/tt8983166/,6.9,3999,131.0,"['Drama', 'Sport']",Not Rated,,IMDB,Panga (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
Cindy La Regia,https://www.imdb.com/title/tt8200456/,6.0,1009,109.0,['Comedy'],,,IMDB,Cindy La Regia (2020) ,"
Country:
Mexico
","
Language:
Spanish
","
Release Date: 24 January 2020 (Mexico)
    
See more »
    
"
John Henry,https://www.imdb.com/title/tt8170298/,3.5,1477,91.0,"['Drama', 'Thriller']",R,27.0,IMDB,John Henry (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
Never Rarely Sometimes Always,https://www.imdb.com/title/tt7772582/,7.3,5536,101.0,['Drama'],PG-13,91.0,IMDB,Never Rarely Sometimes Always (2020) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 3 April 2020 (USA)
    
See more »
    
"
Street Dancer 3D,https://www.imdb.com/title/tt9648672/,3.6,4599,146.0,"['Drama', 'Music']",Not Rated,,IMDB,Street Dancer 3D (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
