Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Hamilton,https://www.imdb.com/title/tt8503618/,8.8,30986,160.0,"['Biography', 'Drama', 'History']",PG-13,90.0,IMDB,Hamilton (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 July 2020 (USA)
    
See more »
    
"
Desperados,https://www.imdb.com/title/tt1545304/,5.2,6014,105.0,"['Comedy', 'Romance']",,41.0,IMDB,Desperados (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 July 2020 (USA)
    
See more »
    
"
The F**k-It List,https://www.imdb.com/title/tt8145202/,5.1,2782,103.0,['Comedy'],,,IMDB,The F**k-It List (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 July 2020 (USA)
    
See more »
    
"
Under the Riccione Sun,https://www.imdb.com/title/tt10941528/,5.5,1153,101.0,"['Comedy', 'Drama', 'Romance']",,,IMDB,Under the Riccione Sun (2020) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 1 July 2020 (USA)
    
See more »
    
"
Force of Nature,https://www.imdb.com/title/tt10308928/,4.4,2921,91.0,"['Action', 'Drama']",R,29.0,IMDB,Force of Nature (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 June 2020 (USA)
    
See more »
    
"
Irresistible,https://www.imdb.com/title/tt9076562/,6.2,4835,101.0,"['Comedy', 'Drama']",R,47.0,IMDB,Irresistible (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 June 2020 (USA)
    
See more »
    
"
Eurovision Song Contest: The Story of Fire Saga,https://www.imdb.com/title/tt8580274/,6.6,54897,123.0,"['Comedy', 'Music']",PG-13,50.0,IMDB,Eurovision Song Contest: The Story of Fire Saga (2020) ,"
Country:
USA
","
Language:
Icelandic
|
English
","
Release Date: 26 June 2020 (USA)
    
See more »
    
"
The Outpost,https://www.imdb.com/title/tt3833480/,6.7,6857,123.0,"['Drama', 'History', 'War']",R,71.0,IMDB,The Outpost (2020) ,"
Country:
USA
|
Bulgaria
","
Language:
English
","
Release Date: 3 July 2020 (USA)
    
See more »
    
"
Bulbbul,https://www.imdb.com/title/tt12393526/,6.6,7249,94.0,"['Drama', 'Horror', 'Mystery']",,,IMDB,Bulbbul (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 June 2020 (USA)
    
See more »
    
"
Chaman Bahaar,https://www.imdb.com/title/tt8747450/,7.1,4216,111.0,"['Comedy', 'Drama']",,,IMDB,Chaman Bahaar (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 19 June 2020 (India)
    
See more »
    
"
Penguin,https://www.imdb.com/title/tt11323316/,4.6,1830,132.0,"['Drama', 'Mystery', 'Thriller']",Not Rated,,IMDB,Penguin (2020) ,"
Country:
India
","
Language:
Tamil
|
Malayalam
|
Telugu
","
Release Date: 19 June 2020 (USA)
    
See more »
    
"
Feel the Beat,https://www.imdb.com/title/tt10714856/,6.3,5332,109.0,"['Comedy', 'Drama', 'Family']",TV-G,,IMDB,Feel the Beat (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 June 2020 (USA)
    
See more »
    
"
Lost Bullet,https://www.imdb.com/title/tt10456740/,6.2,5003,92.0,"['Action', 'Crime', 'Thriller']",,78.0,IMDB,Lost Bullet (2020) ,"
Country:
France
","
Language:
French
","
Release Date: 19 June 2020 (USA)
    
See more »
    
"
You Should Have Left,https://www.imdb.com/title/tt8201852/,5.3,8161,93.0,"['Drama', 'Horror', 'Mystery']",R,46.0,IMDB,You Should Have Left (2020) ,"
Country:
USA
|
UK
","
Language:
English
","
Release Date: 18 June 2020 (USA)
    
See more »
    
"
A Whisker Away,https://www.imdb.com/title/tt11958344/,6.8,2811,104.0,"['Animation', 'Adventure', 'Family']",TV-PG,,IMDB,A Whisker Away (2020) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 18 June 2020 (USA)
    
See more »
    
"
Da 5 Bloods,https://www.imdb.com/title/tt9777644/,6.5,26740,154.0,"['Adventure', 'Drama', 'War']",R,82.0,IMDB,Da 5 Bloods (2020) ,"
Country:
USA
","
Language:
English
|
Finnish
|
French
|
Vietnamese
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
The King of Staten Island,https://www.imdb.com/title/tt9686708/,7.2,17258,136.0,"['Comedy', 'Drama']",R,67.0,IMDB,The King of Staten Island (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
Infamous,https://www.imdb.com/title/tt7703924/,3.8,1114,100.0,['Crime'],Not Rated,41.0,IMDB,Infamous (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
Artemis Fowl,https://www.imdb.com/title/tt3089630/,4.1,16011,95.0,"['Adventure', 'Family', 'Fantasy']",PG,31.0,IMDB,Artemis Fowl (2020) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
Gulabo Sitabo,https://www.imdb.com/title/tt10333912/,6.4,8647,124.0,"['Comedy', 'Drama']",,,IMDB,Gulabo Sitabo (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
Chintu Ka Birthday,https://www.imdb.com/title/tt8472964/,7.9,3069,80.0,['Drama'],,,IMDB,Chintu Ka Birthday (2020) ,"
Country:
India
","
Language:
Hindi
|
English
|
Arabic
","
Release Date: 5 June 2020 (India)
    
See more »
    
"
The Last Days of American Crime,https://www.imdb.com/title/tt1552211/,3.6,7666,148.0,"['Action', 'Crime', 'Thriller']",,15.0,IMDB,The Last Days of American Crime (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 June 2020 (USA)
    
See more »
    
"
Choked,https://www.imdb.com/title/tt11651780/,5.7,3981,114.0,['Drama'],TV-14,,IMDB,Choked (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 5 June 2020 (USA)
    
See more »
    
"
Becky,https://www.imdb.com/title/tt10314450/,5.7,6017,93.0,"['Action', 'Drama', 'Horror']",R,53.0,IMDB,Becky (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 June 2020 (USA)
    
See more »
    
"
Dating Amber,https://www.imdb.com/title/tt7886936/,7.1,1661,92.0,"['Comedy', 'Drama', 'Romance']",,,IMDB,Dating Amber (2020) ,"
Country:
Ireland
", ~data not found~ ,"
Release Date: 4 June 2020 (Ireland)
    
See more »
    
"
The High Note,https://www.imdb.com/title/tt9308382/,6.2,2735,113.0,"['Drama', 'Music', 'Romance']",PG-13,58.0,IMDB,The High Note (2020) ,"
Country:
USA
|
UK
|
China
","
Language:
English
","
Release Date: 29 May 2020 (USA)
    
See more »
    
"
Gabriel's Inferno,https://www.imdb.com/title/tt11316854/,6.2,1331,122.0,['Romance'],,,IMDB,Gabriel's Inferno (2020) ,"
Country:
USA
", ~data not found~ ,"
Release Date: 29 May 2020 (USA)
    
See more »
    
"
Ponmagal Vandhal,https://www.imdb.com/title/tt10692888/,6.9,2145,123.0,"['Drama', 'Thriller']",,,IMDB,Ponmagal Vandhal (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 29 May 2020 (USA)
    
See more »
    
"
The Dinner Party,https://www.imdb.com/title/tt10358198/,6.0,2103,116.0,"['Horror', 'Thriller']",,,IMDB,The Dinner Party (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 June 2020 (USA)
    
See more »
    
"
Intuition,https://www.imdb.com/title/tt12282598/,5.3,1581,116.0,"['Crime', 'Thriller']",,,IMDB,Intuition (2020) ,"
Country:
Argentina
","
Language:
Spanish
","
Release Date: 28 May 2020 (USA)
    
See more »
    
"
The Lovebirds,https://www.imdb.com/title/tt8851668/,6.0,17049,86.0,"['Action', 'Comedy', 'Crime']",R,59.0,IMDB,The Lovebirds (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 May 2020 (USA)
    
See more »
    
"
Inheritance,https://www.imdb.com/title/tt7923220/,5.4,4047,111.0,"['Drama', 'Mystery', 'Thriller']",,31.0,IMDB,Inheritance (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 May 2020 (USA)
    
See more »
    
"
Ghoomketu,https://www.imdb.com/title/tt3734580/,5.8,2480,108.0,['Comedy'],,,IMDB,Ghoomketu (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 22 May 2020 (India)
    
See more »
    
"
Survive the Night,https://www.imdb.com/title/tt10303324/,5.0,5008,90.0,"['Action', 'Drama', 'Thriller']",R,26.0,IMDB,Survive the Night (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 May 2020 (USA)
    
See more »
    
"
Last Moment of Clarity,https://www.imdb.com/title/tt1929297/,5.1,1110,90.0,['Thriller'],R,,IMDB,Last Moment of Clarity (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 May 2020 (USA)
    
See more »
    
"
Proximity,https://www.imdb.com/title/tt8718300/,4.6,1190,119.0,"['Drama', 'Sci-Fi']",Not Rated,38.0,IMDB,Proximity (2020) ,"
Country:
USA
", ~data not found~ ,"
Release Date: 15 May 2020 (USA)
    
See more »
    
"
Scoob!,https://www.imdb.com/title/tt3152592/,5.7,12813,93.0,"['Animation', 'Adventure', 'Comedy']",PG,43.0,IMDB,Scoob! (2020) ,"
Country:
USA
|
Canada
","
Language:
English
","
Release Date: 15 May 2020 (USA)
    
See more »
    
"
