Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date,Month,Year,Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Kaithi,https://www.imdb.com/title/tt9900782/,8.5,7825,145.0,"['Action', 'Thriller']",Not Rated,,IMDB,['India'],['Tamil'],2019-10-24,10.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bigil,https://www.imdb.com/title/tt9260636/,6.8,9379,179.0,"['Action', 'Drama', 'Sport']",Not Rated,,IMDB,['India'],"['Tamil', 'Telugu']",2019-10-24,10.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Midway,https://www.imdb.com/title/tt6924650/,6.7,52599,138.0,"['Action', 'Adventure', 'Drama']",PG-13,4.7,IMDB,"['China', 'Hong Kong', 'Canada', 'USA']","['English', 'Japanese', 'Mandarin']",2019-11-08,11.0,2019.0,2010.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Torpedo,https://www.imdb.com/title/tt8829128/,6.0,1054,102.0,"['Action', 'Adventure', 'History']",,,IMDB,['Belgium'],"['Dutch', 'English', 'German']",2020-05-19,5.0,2020.0,2020.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Terminator: Dark Fate,https://www.imdb.com/title/tt6450804/,6.3,126879,128.0,"['Action', 'Adventure', 'Sci_Fi']",R,5.4,IMDB,"['China', 'Spain', 'Hungary', 'USA']","['English', 'Spanish']",2019-11-01,11.0,2019.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Laal Kaptaan,https://www.imdb.com/title/tt9052960/,7.3,3189,155.0,"['Action', 'Adventure', 'Drama']",Not Rated,,IMDB,['India'],['Hindi'],2019-10-18,10.0,2019.0,2010.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Kill Chain,https://www.imdb.com/title/tt8535180/,5.0,2592,91.0,"['Action', 'Thriller']",R,,IMDB,['USA'],['English'],2019-10-18,10.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Safe,https://www.imdb.com/title/tt10869474/,7.5,1029,144.0,"['Action', 'Crime', 'Thriller']",,,IMDB,['India'],['Malayalam'],2019-10-18,10.0,2019.0,2010.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
El Camino: A Breaking Bad Movie,https://www.imdb.com/title/tt9243946/,7.3,168989,122.0,"['Action', 'Crime', 'Drama']",,7.2,IMDB,['USA'],['English'],2019-10-11,10.0,2019.0,2010.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Rising Hawk,https://www.imdb.com/title/tt7439064/,6.0,1736,135.0,"['Action', 'Drama', 'History']",,,IMDB,"['Ukraine', 'USA']","['English', 'Mongolian']",2019-10-10,10.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,6.7,117853,99.0,"['Action', 'Adventure', 'Comedy']",R,5.5,IMDB,['USA'],"['English', 'Spanish', 'Italian', 'Inuktitut', 'Hindi']",2019-10-18,10.0,2019.0,2010.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wonder Woman: Bloodlines,https://www.imdb.com/title/tt8752498/,5.8,4153,83.0,"['Animation', 'Action', 'Fantasy']",PG-13,,IMDB,['USA'],"['English', 'German']",2019-10-05,10.0,2019.0,2010.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Semper Fi,https://www.imdb.com/title/tt7042838/,6.1,1804,99.0,"['Action', 'Drama']",R,4.8,IMDB,"['UK', 'USA']",['English'],2019-10-04,10.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Code 8,https://www.imdb.com/title/tt6259380/,6.1,29669,98.0,"['Action', 'Crime', 'Drama']",Not Rated,4.8,IMDB,['Canada'],['English'],2019-12-13,12.0,2019.0,2010.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
