Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date,Month,Year,Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Mary Queen of Scots,https://www.imdb.com/title/tt2328900/,6.3,36314,124.0,"['Biography', 'Drama', 'History']",R,6.0,IMDB,"['UK', 'USA']","['English', 'French', 'Scottish Gaelic', 'Latin']",2018-12-21,12.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
A Man Called Ahok,https://www.imdb.com/title/tt9231140/,8.8,4232,102.0,"['Biography', 'Drama']",,,IMDB,['Indonesia'],['Indonesian'],2018-11-08,11.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
On the Basis of Sex,https://www.imdb.com/title/tt4669788/,7.0,21583,120.0,"['Biography', 'Drama']",PG-13,5.9,IMDB,"['USA', 'China', 'Canada']",['English'],2019-01-11,1.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
MÃÂ¼slÃÂ¼m,https://www.imdb.com/title/tt7832124/,7.8,14135,136.0,"['Biography', 'Drama', 'Music']",,,IMDB,['Turkey'],['Turkish'],2018-10-26,10.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
El fotÃÂ³grafo de Mauthausen,https://www.imdb.com/title/tt6704776/,6.7,7054,110.0,"['Biography', 'Drama', 'History']",,,IMDB,['Spain'],"['Spanish', 'German']",2018-10-26,10.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
The Conductor,https://www.imdb.com/title/tt6932818/,7.2,1902,137.0,"['Biography', 'Drama']",,,IMDB,"['Netherlands', 'Belgium']","['English', 'Dutch', 'German']",2019-09-20,9.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/,8.0,429696,134.0,"['Biography', 'Drama', 'Music']",PG-13,4.9,IMDB,"['UK', 'USA']","['English', 'British Sign Language']",2018-11-02,11.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Stan & Ollie,https://www.imdb.com/title/tt3385524/,7.2,29730,98.0,"['Biography', 'Comedy', 'Drama']",PG,7.5,IMDB,"['UK', 'Canada', 'USA']",['English'],2019-01-11,1.0,2019.0,2010.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Master Z: The Ip Man Legacy,https://www.imdb.com/title/tt7262882/,6.5,5952,107.0,"['Action', 'Biography', 'Crime']",Not Rated,7.2,IMDB,"['Hong Kong', 'China']","['Cantonese', 'Mandarin', 'English']",2018-12-20,12.0,2018.0,2010.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Trautmann,https://www.imdb.com/title/tt4642192/,7.2,2822,120.0,"['Biography', 'Drama', 'Romance']",,,IMDB,"['UK', 'Germany']","['English', 'German']",2019-03-14,3.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
