Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Source
La siciliana ribelle,61.0,"['Crime', 'Drama']",115.0,Not Rated,2010-08-04,8,2010,2010,Crime,RT Audience
Quantum of Solace,58.0,"['Action', 'Adventure', 'Thriller']",106.0,PG-13,2008-11-14,11,2008,2000,Action,RT Audience
Milk,89.0,"['Biography', 'Drama']",128.0,R,2009-01-30,1,2009,2000,Biography,RT Audience
Saw V,52.0,"['Action', 'Adventure', 'Crime']",92.0,R,2008-10-24,10,2008,2000,Action,RT Audience
Role Models,74.0,['Comedy'],99.0,R,2008-11-07,11,2008,2000,Comedy,RT Audience
Sex Drive,58.0,"['Comedy', 'Romance']",109.0,R,2008-10-17,10,2008,2000,Comedy,RT Audience
Bride Flight,75.0,['Drama'],130.0,R,2011-06-10,6,2011,2010,Drama,RT Audience
Max Payne,29.0,"['Action', 'Crime', 'Drama']",100.0,PG-13,2008-10-17,10,2008,2000,Action,RT Audience
Little Ashes,49.0,"['Biography', 'Drama', 'Romance']",112.0,R,2009-05-08,5,2009,2000,Biography,RT Audience
Body of Lies,62.0,"['Action', 'Drama', 'Thriller']",128.0,R,2008-10-10,10,2008,2000,Action,RT Audience
An American Carol,47.0,"['Comedy', 'Fantasy']",83.0,PG-13,2008-10-03,10,2008,2000,Comedy,RT Audience
How to Lose Friends & Alienate People,42.0,"['Biography', 'Comedy', 'Drama']",110.0,R,2008-10-03,10,2008,2000,Biography,RT Audience
Nights in Rodanthe,52.0,"['Drama', 'Romance']",97.0,PG-13,2008-09-26,9,2008,2000,Drama,RT Audience
Forever Strong,75.0,"['Drama', 'Sport']",112.0,PG-13,2008-09-26,9,2008,2000,Drama,RT Audience
City of Ember,46.0,"['Adventure', 'Family', 'Fantasy']",90.0,PG,2008-10-10,10,2008,2000,Adventure,RT Audience
While She Was Out,17.0,"['Crime', 'Drama', 'Horror']",86.0,R,2009-03-26,3,2009,2000,Crime,RT Audience
Eagle Eye,62.0,"['Action', 'Mystery', 'Thriller']",118.0,PG-13,2008-09-26,9,2008,2000,Action,RT Audience
My Best Friend's Girl,44.0,"['Comedy', 'Romance']",101.0,R,2008-09-19,9,2008,2000,Comedy,RT Audience
The Family That Preys,61.0,['Drama'],111.0,PG-13,2008-09-12,9,2008,2000,Drama,RT Audience
What Doesn't Kill You,46.0,"['Crime', 'Drama']",100.0,R,2009-09-10,9,2009,2000,Crime,RT Audience
Fifty Dead Men Walking,68.0,"['Crime', 'Drama', 'Thriller']",117.0,R,2009-08-21,8,2009,2000,Crime,RT Audience
Righteous Kill,37.0,"['Crime', 'Drama', 'Mystery']",101.0,R,2008-09-12,9,2008,2000,Crime,RT Audience
Uncertainty,33.0,"['Drama', 'Romance', 'Thriller']",101.0,Not Rated,2012-08-04,8,2012,2010,Drama,RT Audience
Pride and Glory,49.0,"['Crime', 'Drama', 'Thriller']",130.0,R,2008-10-24,10,2008,2000,Crime,RT Audience
Gigantic,89.0,"['Comedy', 'Drama', 'Romance']",98.0,R,2009-06-19,6,2009,2000,Comedy,RT Audience
Nothing But the Truth,50.0,"['Crime', 'Drama', 'Mystery']",108.0,R,2009-07-29,7,2009,2000,Crime,RT Audience
Good,32.0,"['Drama', 'Romance', 'War']",92.0,R,2008-12-11,12,2008,2000,Drama,RT Audience
Lymelife,52.0,"['Comedy', 'Drama', 'Romance']",95.0,R,2009-11-12,11,2009,2000,Comedy,RT Audience
Jerichow,58.0,['Drama'],93.0,Not Rated,2009-01-08,1,2009,2000,Drama,RT Audience
Management,30.0,"['Comedy', 'Drama', 'Romance']",94.0,R,2009-05-15,5,2009,2000,Comedy,RT Audience
Flash of Genius,55.0,"['Biography', 'Drama']",119.0,PG-13,2008-10-03,10,2008,2000,Biography,RT Audience
Miracle at St. Anna,51.0,"['Action', 'Drama', 'War']",160.0,R,2008-09-26,9,2008,2000,Action,RT Audience
Skin,83.0,"['Biography', 'Drama']",107.0,PG-13,2009-07-24,7,2009,2000,Biography,RT Audience
Pontypool,68.0,"['Fantasy', 'Horror', 'Thriller']",93.0,Not Rated,2009-09-18,9,2009,2000,Fantasy,RT Audience
"Patrik, Age 1.5",73.0,"['Comedy', 'Drama', 'Romance']",103.0,Not Rated,2008-09-12,9,2008,2000,Comedy,RT Audience
Nick and Norah's Infinite Playlist,65.0,"['Comedy', 'Drama', 'Music']",90.0,PG-13,2008-10-03,10,2008,2000,Comedy,RT Audience
Deadgirl,40.0,['Horror'],101.0,R,2013-04-20,4,2013,2010,Horror,RT Audience
"New York, I Love You",37.0,"['Comedy', 'Drama', 'Romance']",103.0,R,2009-10-16,10,2009,2000,Comedy,RT Audience
Disgrace,62.0,['Drama'],119.0,R,2009-06-18,6,2009,2000,Drama,RT Audience
Me and Orson Welles,61.0,"['Comedy', 'Drama']",114.0,PG-13,2009-12-18,12,2009,2000,Comedy,RT Audience
"Lovely, Still",75.0,"['Drama', 'Romance']",92.0,PG,2010-03-27,3,2010,2010,Drama,RT Audience
Treeless Mountain,72.0,['Drama'],89.0,Not Rated,2009-08-27,8,2009,2000,Drama,RT Audience
The Wrestler,88.0,"['Drama', 'Sport']",109.0,R,2009-01-30,1,2009,2000,Drama,RT Audience
"Surfer, Dude",26.0,['Comedy'],85.0,R,2008-09-05,9,2008,2000,Comedy,RT Audience
Everlasting Moments,84.0,"['Drama', 'History']",131.0,Not Rated,2008-09-24,9,2008,2000,Drama,RT Audience
Appaloosa,48.0,"['Action', 'Crime', 'Drama']",115.0,R,2008-10-03,10,2008,2000,Action,RT Audience
RocknRolla,71.0,"['Action', 'Crime', 'Thriller']",114.0,R,2008-10-31,10,2008,2000,Action,RT Audience
The Hurt Locker,84.0,"['Drama', 'Thriller', 'War']",131.0,R,2009-07-31,7,2009,2000,Drama,RT Audience
Rachel Getting Married,62.0,"['Drama', 'Romance']",113.0,R,2008-10-31,10,2008,2000,Drama,RT Audience
Mid-August Lunch,70.0,"['Comedy', 'Drama']",75.0,Not Rated,2008-09-05,9,2008,2000,Comedy,RT Audience
35 Shots of Rum,65.0,['Drama'],100.0,Not Rated,2009-02-18,2,2009,2000,Drama,RT Audience
Goodbye Solo,82.0,['Drama'],91.0,R,2009-08-26,8,2009,2000,Drama,RT Audience
Slumdog Millionaire,90.0,"['Drama', 'Romance']",120.0,R,2008-12-25,12,2008,2000,Drama,RT Audience
Adam Resurrected,44.0,"['Drama', 'War']",106.0,R,2008-12-12,12,2008,2000,Drama,RT Audience
Disaster Movie,21.0,['Comedy'],87.0,PG-13,2008-08-29,8,2008,2000,Comedy,RT Audience
American Violet,79.0,['Drama'],103.0,PG-13,2009-04-17,4,2009,2000,Drama,RT Audience
Burn After Reading,65.0,"['Comedy', 'Crime', 'Drama']",96.0,R,2008-09-12,9,2008,2000,Comedy,RT Audience
Bangkok Dangerous,26.0,"['Action', 'Crime', 'Thriller']",99.0,R,2008-09-05,9,2008,2000,Action,RT Audience
Traitor,64.0,"['Action', 'Crime', 'Drama']",114.0,PG-13,2008-08-27,8,2008,2000,Action,RT Audience
Death Race,60.0,"['Action', 'Sci_Fi', 'Thriller']",105.0,R,2008-08-22,8,2008,2000,Action,RT Audience
Babylon A.D.,26.0,"['Action', 'Adventure', 'Sci_Fi']",90.0,PG-13,2008-08-29,8,2008,2000,Action,RT Audience
Eden Lake,66.0,"['Horror', 'Thriller']",91.0,R,2008-09-12,9,2008,2000,Horror,RT Audience
Tropic Thunder,70.0,"['Action', 'Comedy', 'War']",107.0,R,2008-08-13,8,2008,2000,Action,RT Audience
