Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Country,Source
Son of Rambow,79.0,"['Action', 'Adventure', 'Comedy']",96.0,PG-13,2008-05-23,5,2008,2000,Action,UK,RT Audience
Dedication,64.0,"['Comedy', 'Drama', 'Romance']",95.0,R,2008-10-10,10,2008,2000,Comedy,USA,RT Audience
Finishing the Game,47.0,['Comedy'],84.0,Not Rated,2007-01-21,1,2007,2000,Comedy,USA,RT Audience
The Nines,61.0,"['Drama', 'Fantasy', 'Mystery']",100.0,R,2007-11-30,11,2007,2000,Drama,USA,RT Audience
Smiley Face,44.0,['Comedy'],85.0,R,2008-01-16,1,2008,2000,Comedy,USA,RT Audience
Save Me,10.0,"['Drama', 'Romance']",96.0,Not Rated,2009-10-15,10,2009,2000,Drama,USA,RT Audience
Grace Is Gone,60.0,"['Drama', 'War']",85.0,PG-13,2008-01-10,1,2008,2000,Drama,USA,RT Audience
Waitress,74.0,"['Comedy', 'Drama', 'Romance']",108.0,PG-13,2007-05-25,5,2007,2000,Comedy,USA,RT Audience
Introducing the Dwights,50.0,"['Comedy', 'Drama']",105.0,R,2007-07-20,7,2007,2000,Comedy,Australia,RT Audience
Once,91.0,"['Drama', 'Music', 'Romance']",86.0,R,2007-06-15,6,2007,2000,Drama,Ireland,RT Audience
Nanking,88.0,"['Biography', 'History', 'War']",88.0,R,2007-07-03,7,2007,2000,Biography,USA,RT Audience
Sangre de mi sangre,75.0,"['Drama', 'Thriller']",110.0,,2007-10-05,10,2007,2000,Drama,USA,RT Audience
Year of the Dog,43.0,"['Comedy', 'Drama']",97.0,PG-13,2007-05-11,5,2007,2000,Comedy,USA,RT Audience
Interview,65.0,['Drama'],84.0,R,2007-05-10,5,2007,2000,Drama,USA,RT Audience
Resurrecting the Champ,60.0,"['Drama', 'Sport']",112.0,PG-13,2007-08-24,8,2007,2000,Drama,USA,RT Audience
The Ten,40.0,"['Comedy', 'Romance']",96.0,R,2008-04-25,4,2008,2000,Comedy,USA,RT Audience
Teeth,45.0,"['Comedy', 'Fantasy', 'Horror']",94.0,R,2008-04-03,4,2008,2000,Comedy,USA,RT Audience
Expired,45.0,"['Comedy', 'Drama', 'Romance']",107.0,R,2008-08-15,8,2008,2000,Comedy,USA,RT Audience
Rocket Science,72.0,"['Comedy', 'Drama']",101.0,R,2007-09-28,9,2007,2000,Comedy,USA,RT Audience
The Hitcher,74.0,"['Crime', 'Thriller']",84.0,R,2007-01-19,1,2007,2000,Crime,USA,RT Audience
Snow Angels,67.0,"['Crime', 'Drama', 'Romance']",107.0,R,2008-10-29,10,2008,2000,Crime,USA,RT Audience
Ghost Rider,48.0,"['Action', 'Fantasy', 'Thriller']",110.0,PG-13,2007-02-16,2,2007,2000,Action,USA,RT Audience
Primeval,32.0,"['Action', 'Adventure', 'Crime']",93.0,R,2007-01-12,1,2007,2000,Action,USA,RT Audience
Guru,84.0,"['Biography', 'Drama']",166.0,Not Rated,2007-01-12,1,2007,2000,Biography,India,RT Audience
Pathfinder,36.0,"['Action', 'Adventure', 'Drama']",99.0,R,2007-04-13,4,2007,2000,Action,USA,RT Audience
Stomp the Yard,82.0,"['Drama', 'Music', 'Romance']",109.0,PG-13,2007-01-12,1,2007,2000,Drama,USA,RT Audience
Freedom Writers,87.0,"['Biography', 'Crime', 'Drama']",123.0,PG-13,2007-01-05,1,2007,2000,Biography,Germany,RT Audience
Code Name: The Cleaner,38.0,"['Action', 'Comedy', 'Crime']",84.0,PG-13,2007-01-05,1,2007,2000,Action,USA,RT Audience
Music Within,78.0,"['Biography', 'Comedy', 'Drama']",94.0,R,2007-01-05,1,2007,2000,Biography,USA,RT Audience
Factory Girl,60.0,"['Biography', 'Drama']",90.0,R,2007-02-16,2,2007,2000,Biography,USA,RT Audience
Memory,47.0,"['Drama', 'Horror', 'Mystery']",98.0,R,2007-03-23,3,2007,2000,Drama,Canada,RT Audience
Notes on a Scandal,83.0,"['Crime', 'Drama', 'Romance']",92.0,R,2007-01-26,1,2007,2000,Crime,UK,RT Audience
Dynamite Warrior,35.0,"['Action', 'Comedy']",103.0,Not Rated,2006-12-21,12,2006,2000,Action,Thailand,RT Audience
The Painted Veil,85.0,"['Drama', 'Romance']",125.0,PG-13,2007-01-19,1,2007,2000,Drama,China,RT Audience
Night at the Museum,67.0,"['Adventure', 'Comedy', 'Family']",108.0,PG,2006-12-22,12,2006,2000,Adventure,USA,RT Audience
Happily N'Ever After,34.0,"['Animation', 'Adventure', 'Comedy']",87.0,PG,2007-01-05,1,2007,2000,Animation,USA,RT Audience
Home of the Brave,46.0,"['Action', 'Drama', 'War']",106.0,R,2007-03-01,3,2007,2000,Action,USA,RT Audience
The Ex,32.0,"['Comedy', 'Romance']",89.0,PG-13,2007-05-11,5,2007,2000,Comedy,USA,RT Audience
Black Christmas,37.0,['Horror'],84.0,R,2006-12-25,12,2006,2000,Horror,USA,RT Audience
Curse of the Golden Flower,65.0,"['Action', 'Adventure', 'Drama']",114.0,R,2007-01-12,1,2007,2000,Action,China,RT Audience
Rocky Balboa,76.0,"['Action', 'Drama', 'Sport']",102.0,PG,2006-12-20,12,2006,2000,Action,USA,RT Audience
We Are Marshall,79.0,"['Drama', 'Sport']",131.0,PG,2006-12-22,12,2006,2000,Drama,USA,RT Audience
Eragon,47.0,"['Action', 'Adventure', 'Family']",104.0,PG,2006-12-15,12,2006,2000,Action,USA,RT Audience
The Good Shepherd,27.0,"['Drama', 'History', 'Thriller']",167.0,R,2006-12-22,12,2006,2000,Drama,USA,RT Audience
Smokin' Aces,62.0,"['Action', 'Comedy', 'Crime']",108.0,R,2007-01-26,1,2007,2000,Action,UK,RT Audience
Black Snake Moan,69.0,"['Drama', 'Music']",116.0,R,2007-03-02,3,2007,2000,Drama,USA,RT Audience
Dreamgirls,71.0,"['Drama', 'Music', 'Musical']",130.0,PG-13,2006-12-25,12,2006,2000,Drama,USA,RT Audience
300,89.0,"['Action', 'Drama']",117.0,R,2007-03-09,3,2007,2000,Action,USA,RT Audience
Apocalypto,79.0,"['Action', 'Adventure', 'Drama']",139.0,R,2006-12-08,12,2006,2000,Action,USA,RT Audience
Charlotte's Web,62.0,"['Adventure', 'Comedy', 'Family']",97.0,G,2006-12-15,12,2006,2000,Adventure,USA,RT Audience
Blood Diamond,90.0,"['Adventure', 'Drama', 'Thriller']",143.0,R,2006-12-08,12,2006,2000,Adventure,USA,RT Audience
Miss Potter,68.0,"['Biography', 'Drama']",88.0,PG,2007-03-09,3,2007,2000,Biography,UK,RT Audience
