Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Source
Heavy,86.0,"['Drama', 'Romance']",105.0,R,1996-06-05,6,1996,1990,Drama,RT Critics
Before Sunrise,100.0,"['Drama', 'Romance']",101.0,R,1995-01-27,1,1995,1990,Drama,RT Critics
Higher Learning,45.0,"['Crime', 'Drama', 'Thriller']",127.0,R,1995-01-11,1,1995,1990,Crime,RT Critics
I.Q.,44.0,"['Comedy', 'Romance']",100.0,PG,1994-12-25,12,1994,1990,Comedy,RT Critics
Ready to Wear,24.0,"['Comedy', 'Drama']",133.0,R,1994-12-25,12,1994,1990,Comedy,RT Critics
Legends of the Fall,58.0,"['Drama', 'Romance', 'War']",133.0,R,1995-01-13,1,1995,1990,Drama,RT Critics
Death and the Maiden,82.0,"['Drama', 'Mystery', 'Thriller']",103.0,R,1995-01-27,1,1995,1990,Drama,RT Critics
Mixed Nuts,10.0,"['Comedy', 'Drama']",97.0,PG-13,1994-12-21,12,1994,1990,Comedy,RT Critics
Dumb and Dumber,67.0,['Comedy'],107.0,PG-13,1994-12-16,12,1994,1990,Comedy,RT Critics
Cobb,65.0,"['Biography', 'Drama', 'Sport']",128.0,R,1994-12-02,12,1994,1990,Biography,RT Critics
Disclosure,59.0,"['Drama', 'Thriller']",128.0,R,1994-12-09,12,1994,1990,Drama,RT Critics
Star Trek: Generations,49.0,"['Action', 'Adventure', 'Mystery']",118.0,PG,1994-11-18,11,1994,1990,Action,RT Critics
Don Juan DeMarco,69.0,"['Comedy', 'Drama', 'Romance']",97.0,PG-13,1995-04-07,4,1995,1990,Comedy,RT Critics
Oleanna,53.0,"['Drama', 'Thriller']",89.0,Not Rated,1994-11-04,11,1994,1990,Drama,RT Critics
Stargate,52.0,"['Action', 'Adventure', 'Sci_Fi']",116.0,PG-13,1994-10-28,10,1994,1990,Action,RT Critics
Ed Wood,92.0,"['Biography', 'Comedy', 'Drama']",127.0,R,1994-10-07,10,1994,1990,Biography,RT Critics
Quiz Show,96.0,"['Biography', 'Drama', 'History']",133.0,PG-13,1994-10-07,10,1994,1990,Biography,RT Critics
Timecop,44.0,"['Action', 'Crime', 'Sci_Fi']",99.0,R,1994-09-16,9,1994,1990,Action,RT Critics
Muriel's Wedding,78.0,"['Comedy', 'Drama']",106.0,R,1995-03-31,3,1995,1990,Comedy,RT Critics
Nadja,60.0,"['Drama', 'Horror']",93.0,R,1995-09-01,9,1995,1990,Drama,RT Critics
Ashes of Time,78.0,"['Action', 'Drama']",100.0,R,1994-09-17,9,1994,1990,Action,RT Critics
Swimming with Sharks,78.0,"['Comedy', 'Crime']",93.0,R,1995-04-21,4,1995,1990,Comedy,RT Critics
The Shawshank Redemption,90.0,['Drama'],142.0,R,1994-10-14,10,1994,1990,Drama,RT Critics
Once Were Warriors,93.0,"['Crime', 'Drama']",102.0,R,1995-03-03,3,1995,1990,Crime,RT Critics
Little Odessa,61.0,"['Crime', 'Drama']",98.0,R,1995-05-19,5,1995,1990,Crime,RT Critics
Il Postino,93.0,"['Biography', 'Comedy', 'Drama']",108.0,PG,1996-03-22,3,1996,1990,Biography,RT Critics
Wes Craven's New Nightmare,80.0,"['Fantasy', 'Horror', 'Mystery']",112.0,R,1994-10-14,10,1994,1990,Fantasy,RT Critics
Natural Born Killers,46.0,"['Action', 'Crime', 'Drama']",118.0,R,1994-08-26,8,1994,1990,Action,RT Critics
Color of Night,22.0,"['Mystery', 'Romance', 'Thriller']",121.0,R,1994-08-19,8,1994,1990,Mystery,RT Critics
Airheads,23.0,"['Comedy', 'Crime', 'Music']",92.0,PG-13,1994-08-05,8,1994,1990,Comedy,RT Critics
The Next Karate Kid,7.0,"['Action', 'Drama', 'Family']",107.0,PG,1994-09-09,9,1994,1990,Action,RT Critics
Clear and Present Danger,79.0,"['Action', 'Crime', 'Drama']",141.0,PG-13,1994-08-03,8,1994,1990,Action,RT Critics
The Mask,77.0,"['Action', 'Comedy', 'Crime']",101.0,PG-13,1994-07-29,7,1994,1990,Action,RT Critics
The Client,78.0,"['Crime', 'Drama', 'Mystery']",119.0,PG-13,1994-07-20,7,1994,1990,Crime,RT Critics
Chungking Express,87.0,"['Comedy', 'Crime', 'Drama']",102.0,PG-13,1996-03-08,3,1996,1990,Comedy,RT Critics
True Lies,71.0,"['Action', 'Comedy', 'Thriller']",141.0,R,1994-07-15,7,1994,1990,Action,RT Critics
Barcelona,82.0,"['Comedy', 'Drama', 'Romance']",101.0,PG-13,1994-07-29,7,1994,1990,Comedy,RT Critics
Little Big League,31.0,"['Comedy', 'Family', 'Sport']",119.0,PG,1994-06-29,6,1994,1990,Comedy,RT Critics
Wyatt Earp,44.0,"['Adventure', 'Biography', 'Crime']",191.0,PG-13,1994-06-24,6,1994,1990,Adventure,RT Critics
Forrest Gump,71.0,"['Drama', 'Romance']",142.0,PG-13,1994-07-06,7,1994,1990,Drama,RT Critics
The Lion King,93.0,"['Animation', 'Adventure', 'Drama']",88.0,G,1994-06-24,6,1994,1990,Animation,RT Critics
City Slickers II: The Legend of Curly's Gold,18.0,['Comedy'],116.0,PG-13,1994-06-10,6,1994,1990,Comedy,RT Critics
Speed,,"['Action', 'Adventure', 'Thriller']",116.0,R,1994-06-10,6,1994,1990,Action,RT Critics
Renaissance Man,12.0,"['Comedy', 'Drama']",128.0,PG-13,1994-06-03,6,1994,1990,Comedy,RT Critics
Wild Reeds,100.0,['Drama'],110.0,Not Rated,1995-05-10,5,1995,1990,Drama,RT Critics
See How They Fall,,"['Crime', 'Drama']",90.0,,1994-08-31,8,1994,1990,Crime,RT Critics
Mrs. Parker and the Vicious Circle,75.0,"['Biography', 'Drama']",125.0,R,1994-11-23,11,1994,1990,Biography,RT Critics
The Flintstones,22.0,"['Comedy', 'Family', 'Fantasy']",91.0,PG,1994-05-27,5,1994,1990,Comedy,RT Critics
Pulp Fiction,91.0,"['Crime', 'Drama']",154.0,R,1994-10-14,10,1994,1990,Crime,RT Critics
Maverick,66.0,"['Action', 'Adventure', 'Comedy']",127.0,PG,1994-05-20,5,1994,1990,Action,RT Critics
Cold Water,100.0,['Drama'],95.0,Not Rated,1994-07-06,7,1994,1990,Drama,RT Critics
Exotica,97.0,['Drama'],103.0,R,1995-03-24,3,1995,1990,Drama,RT Critics
Crooklyn,77.0,"['Comedy', 'Drama']",115.0,PG-13,1994-05-13,5,1994,1990,Comedy,RT Critics
3 Ninjas Kick Back,15.0,"['Action', 'Comedy', 'Family']",93.0,PG,1994-05-06,5,1994,1990,Action,RT Critics
Being Human,54.0,"['Comedy', 'Drama']",122.0,PG-13,1994-05-06,5,1994,1990,Comedy,RT Critics
PCU,47.0,['Comedy'],79.0,PG-13,1994-04-29,4,1994,1990,Comedy,RT Critics
Surviving the Game,25.0,"['Action', 'Adventure', 'Crime']",96.0,R,1994-04-15,4,1994,1990,Action,RT Critics
Serial Mom,63.0,"['Comedy', 'Crime', 'Thriller']",95.0,R,1994-04-13,4,1994,1990,Comedy,RT Critics
Guarding Tess,57.0,"['Comedy', 'Drama']",96.0,PG-13,1994-03-11,3,1994,1990,Comedy,RT Critics
On Deadly Ground,10.0,"['Action', 'Adventure', 'Thriller']",101.0,R,1994-02-18,2,1994,1990,Action,RT Critics
The Last Seduction,94.0,"['Crime', 'Drama', 'Romance']",110.0,R,1994-10-26,10,1994,1990,Crime,RT Critics
Blue Chips,37.0,"['Drama', 'Sport']",108.0,PG-13,1994-02-18,2,1994,1990,Drama,RT Critics
Blank Check,9.0,"['Comedy', 'Crime', 'Family']",93.0,PG,1994-02-11,2,1994,1990,Comedy,RT Critics
My Father the Hero,14.0,"['Comedy', 'Romance']",90.0,PG,1994-02-04,2,1994,1990,Comedy,RT Critics
Ace Ventura: Pet Detective,48.0,['Comedy'],86.0,PG-13,1994-02-04,2,1994,1990,Comedy,RT Critics
Spanking the Monkey,91.0,"['Comedy', 'Drama']",100.0,Not Rated,1994-07-15,7,1994,1990,Comedy,RT Critics
River of Grass,95.0,['Drama'],76.0,Not Rated,1995-10-13,10,1995,1990,Drama,RT Critics
Reality Bites,66.0,"['Comedy', 'Drama', 'Romance']",99.0,PG-13,1994-02-18,2,1994,1990,Comedy,RT Critics
Fresh,87.0,"['Crime', 'Drama', 'Thriller']",114.0,R,1994-09-02,9,1994,1990,Crime,RT Critics
Clerks,88.0,['Comedy'],92.0,R,1994-11-09,11,1994,1990,Comedy,RT Critics
The Hudsucker Proxy,58.0,"['Comedy', 'Drama', 'Fantasy']",111.0,PG,1994-03-11,3,1994,1990,Comedy,RT Critics
Three Colors: White,87.0,"['Comedy', 'Drama', 'Romance']",92.0,R,1994-06-10,6,1994,1990,Comedy,RT Critics
Four Weddings and a Funeral,96.0,"['Comedy', 'Drama', 'Romance']",117.0,R,1994-04-15,4,1994,1990,Comedy,RT Critics
Iron Will,62.0,"['Adventure', 'Family']",108.0,PG,1994-01-14,1,1994,1990,Adventure,RT Critics
Death Wish V: The Face of Death,0.0,"['Action', 'Crime', 'Drama']",95.0,R,1994-01-14,1,1994,1990,Action,RT Critics
Cabin Boy,46.0,"['Adventure', 'Comedy', 'Romance']",80.0,PG-13,1994-01-07,1,1994,1990,Adventure,RT Critics
Tombstone,74.0,"['Action', 'Biography', 'Drama']",130.0,R,1993-12-25,12,1993,1990,Action,RT Critics
Grumpy Old Men,63.0,"['Comedy', 'Drama', 'Romance']",103.0,PG-13,1993-12-25,12,1993,1990,Comedy,RT Critics
Philadelphia,80.0,['Drama'],125.0,PG-13,1994-01-14,1,1994,1990,Drama,RT Critics
The Pelican Brief,53.0,"['Crime', 'Drama', 'Mystery']",141.0,PG-13,1993-12-17,12,1993,1990,Crime,RT Critics
In the Name of the Father,94.0,"['Biography', 'Drama']",133.0,R,1994-02-25,2,1994,1990,Biography,RT Critics
Wayne's World 2,60.0,"['Comedy', 'Music']",95.0,PG-13,1993-12-10,12,1993,1990,Comedy,RT Critics
Sister Act 2: Back in the Habit,17.0,"['Comedy', 'Family', 'Music']",107.0,PG,1993-12-10,12,1993,1990,Comedy,RT Critics
Six Degrees of Separation,88.0,"['Comedy', 'Drama', 'Mystery']",112.0,R,1993-12-08,12,1993,1990,Comedy,RT Critics
Schindler's List,97.0,"['Biography', 'Drama', 'History']",195.0,R,1994-02-04,2,1994,1990,Biography,RT Critics
A Perfect World,79.0,"['Crime', 'Drama', 'Thriller']",138.0,PG-13,1993-11-24,11,1993,1990,Crime,RT Critics
Mrs. Doubtfire,71.0,"['Comedy', 'Drama', 'Family']",125.0,PG-13,1993-11-24,11,1993,1990,Comedy,RT Critics
Addams Family Values,77.0,"['Comedy', 'Fantasy']",94.0,PG-13,1993-11-19,11,1993,1990,Comedy,RT Critics
Ernest Rides Again,14.0,"['Family', 'Comedy']",96.0,PG,1993-11-12,11,1993,1990,Family,RT Critics
Carlito's Way,81.0,"['Crime', 'Drama', 'Thriller']",144.0,R,1993-11-12,11,1993,1990,Crime,RT Critics
Kika,60.0,['Comedy'],114.0,Not Rated,1994-05-06,5,1994,1990,Comedy,RT Critics
Judgment Night,35.0,"['Action', 'Crime', 'Drama']",110.0,R,1993-10-15,10,1993,1990,Action,RT Critics
Demolition Man,60.0,"['Action', 'Sci_Fi', 'Thriller']",115.0,R,1993-10-08,10,1993,1990,Action,RT Critics
What's Eating Gilbert Grape,90.0,['Drama'],118.0,PG-13,1994-03-04,3,1994,1990,Drama,RT Critics
Cool Runnings,,"['Adventure', 'Comedy', 'Family']",98.0,PG,1993-10-01,10,1993,1990,Adventure,RT Critics
Malice,59.0,"['Crime', 'Mystery', 'Thriller']",107.0,R,1993-10-01,10,1993,1990,Crime,RT Critics
Rudy,78.0,"['Biography', 'Drama', 'Sport']",114.0,PG,1993-10-22,10,1993,1990,Biography,RT Critics
Totally F***ed Up,100.0,"['Comedy', 'Drama', 'Romance']",78.0,Not Rated,1995-01-13,1,1995,1990,Comedy,RT Critics
Even Cowgirls Get the Blues,19.0,"['Comedy', 'Drama', 'Romance']",95.0,R,1994-05-20,5,1994,1990,Comedy,RT Critics
M. Butterfly,43.0,"['Drama', 'Romance']",101.0,R,1993-10-01,10,1993,1990,Drama,RT Critics
True Romance,93.0,"['Crime', 'Drama', 'Romance']",119.0,R,1993-09-10,9,1993,1990,Crime,RT Critics
Short Cuts,95.0,"['Comedy', 'Drama']",188.0,R,1993-10-01,10,1993,1990,Comedy,RT Critics
Three Colors: Blue,98.0,"['Drama', 'Music', 'Mystery']",94.0,R,1993-09-08,9,1993,1990,Drama,RT Critics
Kalifornia,59.0,"['Crime', 'Drama', 'Thriller']",117.0,R,1993-09-03,9,1993,1990,Crime,RT Critics
Son of the Pink Panther,6.0,"['Comedy', 'Crime']",93.0,PG,1993-08-27,8,1993,1990,Comedy,RT Critics
Needful Things,31.0,"['Crime', 'Drama', 'Fantasy']",120.0,R,1993-08-27,8,1993,1990,Crime,RT Critics
The Secret Garden,88.0,"['Drama', 'Family', 'Fantasy']",101.0,G,1993-08-13,8,1993,1990,Drama,RT Critics
Jason Goes to Hell: The Final Friday,22.0,"['Fantasy', 'Horror', 'Thriller']",87.0,R,1993-08-13,8,1993,1990,Fantasy,RT Critics
Searching for Bobby Fischer,100.0,"['Biography', 'Drama']",109.0,PG,1993-08-11,8,1993,1990,Biography,RT Critics
Rising Sun,33.0,"['Action', 'Crime', 'Drama']",129.0,R,1993-07-30,7,1993,1990,Action,RT Critics
The Fugitive,96.0,"['Action', 'Crime', 'Drama']",130.0,PG-13,1993-08-06,8,1993,1990,Action,RT Critics
Robin Hood: Men in Tights,40.0,"['Adventure', 'Comedy', 'Musical']",104.0,PG-13,1993-07-28,7,1993,1990,Adventure,RT Critics
Poetic Justice,34.0,"['Drama', 'Romance']",109.0,R,1993-07-23,7,1993,1990,Drama,RT Critics
Coneheads,35.0,"['Comedy', 'Sci_Fi']",88.0,PG,1993-07-23,7,1993,1990,Comedy,RT Critics
Free Willy,68.0,"['Adventure', 'Drama', 'Family']",112.0,PG,1993-07-16,7,1993,1990,Adventure,RT Critics
In the Line of Fire,96.0,"['Action', 'Crime', 'Drama']",128.0,R,1993-07-09,7,1993,1990,Action,RT Critics
Rookie of the Year,35.0,"['Comedy', 'Family', 'Fantasy']",103.0,PG,1993-07-07,7,1993,1990,Comedy,RT Critics
Sleepless in Seattle,74.0,"['Comedy', 'Drama', 'Romance']",105.0,PG,1993-06-25,6,1993,1990,Comedy,RT Critics
Last Action Hero,36.0,"['Action', 'Adventure', 'Comedy']",130.0,PG-13,1993-06-18,6,1993,1990,Action,RT Critics
Jurassic Park,91.0,"['Action', 'Adventure', 'Sci_Fi']",127.0,PG-13,1993-06-11,6,1993,1990,Action,RT Critics
Dazed and Confused,92.0,['Comedy'],102.0,R,1994-02-10,2,1994,1990,Comedy,RT Critics
Menace II Society,84.0,"['Crime', 'Drama', 'Thriller']",97.0,R,1993-05-26,5,1993,1990,Crime,RT Critics
Sliver,11.0,"['Drama', 'Thriller']",107.0,R,1993-05-21,5,1993,1990,Drama,RT Critics
Cronos,90.0,['Horror'],94.0,R,1994-05-05,5,1994,1990,Horror,RT Critics
Body Snatchers,71.0,"['Horror', 'Sci_Fi']",87.0,R,1994-02-18,2,1994,1990,Horror,RT Critics
Naked,,"['Comedy', 'Drama']",132.0,Not Rated,1994-02-04,2,1994,1990,Comedy,RT Critics
Red Rock West,95.0,"['Crime', 'Drama', 'Thriller']",98.0,R,1993-05-14,5,1993,1990,Crime,RT Critics
Dave,95.0,"['Comedy', 'Romance']",110.0,PG-13,1993-05-07,5,1993,1990,Comedy,RT Critics
RoboCop 3,3.0,"['Action', 'Crime', 'Sci_Fi']",104.0,PG-13,1993-11-05,11,1993,1990,Action,RT Critics
Benny & Joon,75.0,"['Comedy', 'Drama', 'Romance']",98.0,PG,1993-04-23,4,1993,1990,Comedy,RT Critics
This Boy's Life,76.0,"['Biography', 'Drama']",115.0,R,1993-04-23,4,1993,1990,Biography,RT Critics
Indecent Proposal,35.0,"['Drama', 'Romance']",117.0,R,1993-04-07,4,1993,1990,Drama,RT Critics
The Crush,25.0,"['Drama', 'Thriller']",89.0,R,1993-04-02,4,1993,1990,Drama,RT Critics
Teenage Mutant Ninja Turtles III,23.0,"['Action', 'Adventure', 'Comedy']",96.0,PG,1993-03-19,3,1993,1990,Action,RT Critics
Fire in the Sky,42.0,"['Biography', 'Drama', 'Fantasy']",109.0,PG-13,1993-03-12,3,1993,1990,Biography,RT Critics
CB4,55.0,"['Comedy', 'Music']",89.0,R,1993-03-12,3,1993,1990,Comedy,RT Critics
Swing Kids,56.0,"['Drama', 'Music']",112.0,PG-13,1993-03-05,3,1993,1990,Drama,RT Critics
Mad Dog and Glory,77.0,"['Comedy', 'Crime', 'Drama']",97.0,R,1993-03-05,3,1993,1990,Comedy,RT Critics
Falling Down,73.0,"['Crime', 'Drama', 'Thriller']",113.0,R,1993-02-26,2,1993,1990,Crime,RT Critics
The Vanishing,98.0,"['Drama', 'Horror', 'Mystery']",109.0,R,1993-02-05,2,1993,1990,Drama,RT Critics
"Blood In, Blood Out",55.0,"['Crime', 'Drama']",180.0,R,1993-04-30,4,1993,1990,Crime,RT Critics
Groundhog Day,96.0,"['Comedy', 'Fantasy', 'Romance']",101.0,PG,1993-02-12,2,1993,1990,Comedy,RT Critics
Boxing Helena,17.0,"['Drama', 'Mystery', 'Romance']",107.0,R,1993-09-03,9,1993,1990,Drama,RT Critics
Leprechaun,23.0,"['Comedy', 'Fantasy', 'Horror']",92.0,R,1993-01-08,1,1993,1990,Comedy,RT Critics
3 Ninjas: Knuckle Up,,"['Action', 'Comedy', 'Family']",85.0,PG-13,1995-04-07,4,1995,1990,Action,RT Critics
Lorenzo's Oil,92.0,['Drama'],129.0,PG-13,1993-01-29,1,1993,1990,Drama,RT Critics
Body of Evidence,8.0,"['Drama', 'Thriller']",99.0,R,1993-01-15,1,1993,1990,Drama,RT Critics
Hoffa,52.0,"['Biography', 'Crime', 'Drama']",140.0,R,1992-12-25,12,1992,1990,Biography,RT Critics
Toys,30.0,"['Adventure', 'Comedy', 'Drama']",118.0,PG-13,1992-12-18,12,1992,1990,Adventure,RT Critics
Chaplin,59.0,"['Biography', 'Comedy', 'Drama']",143.0,PG-13,1993-01-08,1,1993,1990,Biography,RT Critics
The Distinguished Gentleman,13.0,"['Comedy', 'Crime']",112.0,R,1992-12-04,12,1992,1990,Comedy,RT Critics
The Bodyguard,33.0,"['Action', 'Drama', 'Music']",129.0,R,1992-11-25,11,1992,1990,Action,RT Critics
Malcolm X,88.0,"['Biography', 'Drama', 'History']",202.0,PG-13,1992-11-18,11,1992,1990,Biography,RT Critics
Dracula,,['Horror'],128.0,R,1992-11-13,11,1992,1990,Horror,RT Critics
Aladdin,57.0,"['Animation', 'Adventure', 'Comedy']",90.0,G,1992-11-25,11,1992,1990,Animation,RT Critics
Army of Darkness,73.0,"['Comedy', 'Fantasy', 'Horror']",81.0,R,1993-02-19,2,1993,1990,Comedy,RT Critics
Under Siege,79.0,"['Action', 'Thriller']",103.0,R,1992-10-09,10,1992,1990,Action,RT Critics
1492: Conquest of Paradise,32.0,"['Adventure', 'Biography', 'Drama']",154.0,PG-13,1992-10-09,10,1992,1990,Adventure,RT Critics
Careful,83.0,"['Comedy', 'Drama', 'Romance']",100.0,Not Rated,1994-03-03,3,1994,1990,Comedy,RT Critics
School Ties,60.0,['Drama'],106.0,PG-13,1992-09-18,9,1992,1990,Drama,RT Critics
Captain Ron,23.0,"['Adventure', 'Comedy']",90.0,PG-13,1992-09-18,9,1992,1990,Adventure,RT Critics
Romper Stomper,79.0,"['Crime', 'Drama']",94.0,R,1992-11-12,11,1992,1990,Crime,RT Critics
Guncrazy,63.0,"['Crime', 'Drama', 'Romance']",97.0,R,1993-09-09,9,1993,1990,Crime,RT Critics
Candyman,74.0,"['Horror', 'Thriller']",99.0,R,1992-10-16,10,1992,1990,Horror,RT Critics
Sneakers,79.0,"['Comedy', 'Crime', 'Drama']",126.0,PG-13,1992-09-11,9,1992,1990,Comedy,RT Critics
El Mariachi,93.0,"['Action', 'Crime', 'Thriller']",81.0,R,1993-02-26,2,1993,1990,Action,RT Critics
Orlando,84.0,"['Biography', 'Drama', 'Fantasy']",94.0,PG-13,1993-06-09,6,1993,1990,Biography,RT Critics
Glengarry Glen Ross,95.0,"['Crime', 'Drama', 'Mystery']",100.0,R,1992-10-02,10,1992,1990,Crime,RT Critics
Pet Sematary II,22.0,"['Fantasy', 'Horror']",100.0,R,1992-08-28,8,1992,1990,Fantasy,RT Critics
Bob Roberts,97.0,"['Comedy', 'Drama']",102.0,R,1992-09-04,9,1992,1990,Comedy,RT Critics
Single White Female,54.0,"['Drama', 'Thriller']",107.0,R,1992-08-14,8,1992,1990,Drama,RT Critics
3 Ninjas,32.0,"['Action', 'Comedy', 'Family']",84.0,PG,1992-08-07,8,1992,1990,Action,RT Critics
Buffy the Vampire Slayer,35.0,"['Action', 'Comedy', 'Fantasy']",86.0,PG-13,1992-07-31,7,1992,1990,Action,RT Critics
Porco Rosso,95.0,"['Animation', 'Adventure', 'Comedy']",94.0,PG,1994-12-16,12,1994,1990,Animation,RT Critics
"Honey, I Blew Up the Kid",40.0,"['Adventure', 'Comedy', 'Family']",89.0,PG,1992-07-17,7,1992,1990,Adventure,RT Critics
Death Becomes Her,52.0,"['Comedy', 'Fantasy', 'Horror']",104.0,PG-13,1992-07-31,7,1992,1990,Comedy,RT Critics
Universal Soldier,31.0,"['Action', 'Sci_Fi']",102.0,R,1992-07-10,7,1992,1990,Action,RT Critics
Batman Returns,80.0,"['Action', 'Crime', 'Fantasy']",126.0,PG-13,1992-06-19,6,1992,1990,Action,RT Critics
Patriot Games,73.0,"['Action', 'Thriller']",117.0,R,1992-06-05,6,1992,1990,Action,RT Critics
